Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	EGFR	763	4526
umls:C0001418	ERBB2	189	4526
umls:C0001418	IL1B	40	4526
umls:C0001418	PTGS2	15	4526
umls:C0001973	ADH1B	300	4525
umls:C0001973	ALDH2	2090	4525
umls:C0001973	GABRA2	2842	4525
umls:C0001973	NPY	3624	4525
umls:C0001973	OPRM1	4242	4525
umls:C0002312	HBA1	51	4527
umls:C0002312	HBA2	2	4527
umls:C0002312	HBB	11	4527
umls:C0002395	TOMM40	237	4508
umls:C0002395	CYP46A1	2307	4508
umls:C0002395	ACE	907	4508
umls:C0002395	A2M	513	4508
umls:C0002395	ESR1	1859	4508
umls:C0002395	BACE1	2439	4508
umls:C0002395	GSK3B	3914	4508
umls:C0002395	APOC1	44	4508
umls:C0002395	IDE	2973	4508
umls:C0002395	APOE	2	4508
umls:C0002395	IGF2	1522	4508
umls:C0002395	APP	2055	4508
umls:C0002395	IL1B	3900	4508
umls:C0002395	INS	4076	4508
umls:C0002395	LEP	4024	4508
umls:C0002395	MTHFR	3921	4508
umls:C0002395	NOS3	3260	4508
umls:C0002395	NPY	3971	4508
umls:C0002395	PLAU	4446	4508
umls:C0002395	BAX	1567	4508
umls:C0002395	BDNF	2910	4508
umls:C0002395	TNF	2496	4508
umls:C0002736	FUS	191	4528
umls:C0002736	SOD1	2514	4528
umls:C0003123	CRH	4255	4526
umls:C0003123	CRHR2	143	4526
umls:C0003123	IL1RN	3023	4526
umls:C0003123	NPY	1411	4526
umls:C0003811	GJA1	986	4528
umls:C0003811	KCNJ2	449	4528
umls:C0003872	HLA-C	711	4528
umls:C0003872	TNF	586	4528
umls:C0003873	CDK6	2978	4504
umls:C0003873	CCR6	456	4504
umls:C0003873	CTLA4	150	4504
umls:C0003873	FCGR2A	238	4504
umls:C0003873	PADI4	2275	4504
umls:C0003873	PTPN22	346	4504
umls:C0003873	HLA-DRB1	38	4504
umls:C0003873	IL1B	505	4504
umls:C0003873	IL1RN	212	4504
umls:C0003873	IL2RA	270	4504
umls:C0003873	IL6	2623	4504
umls:C0003873	IL6R	2096	4504
umls:C0003873	IL6ST	2385	4504
umls:C0003873	IL10	247	4504
umls:C0003873	IL18	3709	4504
umls:C0003873	IRF5	1672	4504
umls:C0003873	CIITA	49	4504
umls:C0003873	MTHFR	3372	4504
umls:C0003873	CD244	88	4504
umls:C0003873	PTPN2	3880	4504
umls:C0003873	CCL21	310	4504
umls:C0003873	STAT4	368	4504
umls:C0003873	TNF	356	4504
umls:C0003873	TNFAIP3	2577	4504
umls:C0003873	TRAF1	198	4504
umls:C0003873	CD40	2477	4504
umls:C0004096	ALOX5	603	4511
umls:C0004096	GSTM1	3579	4511
umls:C0004096	TBX21	50	4511
umls:C0004096	HLA-DPB1	23	4511
umls:C0004096	HLA-DQA1	78	4511
umls:C0004096	HLA-DQB1	192	4511
umls:C0004096	HLA-DRB1	85	4511
umls:C0004096	IL1B	639	4511
umls:C0004096	IL1RN	141	4511
umls:C0004096	MMP9	384	4511
umls:C0004096	NOS2	2054	4511
umls:C0004096	CCL2	1389	4511
umls:C0004096	CCL5	101	4511
umls:C0004096	CCL11	677	4511
umls:C0004096	TGFB1	3883	4511
umls:C0004096	TNF	1161	4511
umls:C0004096	IL33	239	4511
umls:C0004096	IL1RL1	1973	4511
umls:C0004096	CD14	391	4511
umls:C0004153	AGER	4297	4522
umls:C0004153	ABCA1	2401	4522
umls:C0004153	APOE	2175	4522
umls:C0004153	IL6	2326	4522
umls:C0004153	NOS3	2820	4522
umls:C0004153	CCL2	1131	4522
umls:C0004153	TLR4	2767	4522
umls:C0004153	TNF	1349	4522
umls:C0004238	ACE	1316	4525
umls:C0004238	KCNN3	4010	4525
