Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	EGFR	14	4526
umls:C0001418	ERBB2	18	4526
umls:C0001418	IL1B	678	4526
umls:C0001418	PTGS2	971	4526
umls:C0001973	ADH1B	2876	4525
umls:C0001973	ALDH2	1570	4525
umls:C0001973	GABRA2	501	4525
umls:C0001973	NPY	75	4525
umls:C0001973	OPRM1	1730	4525
umls:C0002312	HBA1	2	4527
umls:C0002312	HBA2	90	4527
umls:C0002312	HBB	3	4527
umls:C0002395	TOMM40	1975	4508
umls:C0002395	CYP46A1	3896	4508
umls:C0002395	ACE	3405	4508
umls:C0002395	A2M	1	4508
umls:C0002395	ESR1	148	4508
umls:C0002395	BACE1	2513	4508
umls:C0002395	GSK3B	161	4508
umls:C0002395	APOC1	2879	4508
umls:C0002395	IDE	56	4508
umls:C0002395	APOE	61	4508
umls:C0002395	IGF2	35	4508
umls:C0002395	APP	3	4508
umls:C0002395	IL1B	893	4508
umls:C0002395	INS	274	4508
umls:C0002395	LEP	140	4508
umls:C0002395	MTHFR	4187	4508
umls:C0002395	NOS3	72	4508
umls:C0002395	NPY	2053	4508
umls:C0002395	PLAU	916	4508
umls:C0002395	BAX	843	4508
umls:C0002395	BDNF	1563	4508
umls:C0002395	TNF	847	4508
umls:C0002736	FUS	1364	4528
umls:C0002736	SOD1	2245	4528
umls:C0003123	CRH	2	4526
umls:C0003123	CRHR2	4	4526
umls:C0003123	IL1RN	3652	4526
umls:C0003123	NPY	3496	4526
umls:C0003811	GJA1	1009	4528
umls:C0003811	KCNJ2	3142	4528
umls:C0003872	HLA-C	2043	4528
umls:C0003872	TNF	1467	4528
umls:C0003873	CDK6	529	4504
umls:C0003873	CCR6	1779	4504
umls:C0003873	CTLA4	3691	4504
umls:C0003873	FCGR2A	2105	4504
umls:C0003873	PADI4	903	4504
umls:C0003873	PTPN22	624	4504
umls:C0003873	HLA-DRB1	1442	4504
umls:C0003873	IL1B	86	4504
umls:C0003873	IL1RN	110	4504
umls:C0003873	IL2RA	3294	4504
umls:C0003873	IL6	8	4504
umls:C0003873	IL6R	3	4504
umls:C0003873	IL6ST	98	4504
umls:C0003873	IL10	2509	4504
umls:C0003873	IL18	560	4504
umls:C0003873	IRF5	719	4504
umls:C0003873	CIITA	976	4504
umls:C0003873	MTHFR	4432	4504
umls:C0003873	CD244	336	4504
umls:C0003873	PTPN2	1282	4504
umls:C0003873	CCL21	537	4504
umls:C0003873	STAT4	348	4504
umls:C0003873	TNF	92	4504
umls:C0003873	TNFAIP3	75	4504
umls:C0003873	TRAF1	94	4504
umls:C0003873	CD40	1729	4504
umls:C0004096	ALOX5	1633	4511
umls:C0004096	GSTM1	2690	4511
umls:C0004096	TBX21	3434	4511
umls:C0004096	HLA-DPB1	1686	4511
umls:C0004096	HLA-DQA1	1	4511
umls:C0004096	HLA-DQB1	26	4511
umls:C0004096	HLA-DRB1	3345	4511
umls:C0004096	IL1B	42	4511
umls:C0004096	IL1RN	90	4511
umls:C0004096	MMP9	68	4511
umls:C0004096	NOS2	2706	4511
umls:C0004096	CCL2	71	4511
umls:C0004096	CCL5	38	4511
umls:C0004096	CCL11	88	4511
umls:C0004096	TGFB1	18	4511
umls:C0004096	TNF	177	4511
umls:C0004096	IL33	11	4511
umls:C0004096	IL1RL1	11	4511
umls:C0004096	CD14	336	4511
umls:C0004153	AGER	2466	4522
umls:C0004153	ABCA1	1050	4522
umls:C0004153	APOE	33	4522
