Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	EGFR	72	4526
umls:C0001418	ERBB2	46	4526
umls:C0001418	IL1B	45	4526
umls:C0001418	PTGS2	32	4526
umls:C0001973	ADH1B	961	4525
umls:C0001973	ALDH2	2016	4525
umls:C0001973	GABRA2	885	4525
umls:C0001973	NPY	449	4525
umls:C0001973	OPRM1	3409	4525
umls:C0002312	HBA1	1	4527
umls:C0002312	HBA2	10	4527
umls:C0002312	HBB	1	4527
umls:C0002395	TOMM40	472	4508
umls:C0002395	CYP46A1	3585	4508
umls:C0002395	ACE	1956	4508
umls:C0002395	A2M	8	4508
umls:C0002395	ESR1	402	4508
umls:C0002395	BACE1	2935	4508
umls:C0002395	GSK3B	1898	4508
umls:C0002395	APOC1	43	4508
umls:C0002395	IDE	79	4508
umls:C0002395	APOE	1	4508
umls:C0002395	IGF2	51	4508
umls:C0002395	APP	90	4508
umls:C0002395	IL1B	2314	4508
umls:C0002395	INS	1001	4508
umls:C0002395	LEP	172	4508
umls:C0002395	MTHFR	4419	4508
umls:C0002395	NOS3	216	4508
umls:C0002395	NPY	3255	4508
umls:C0002395	PLAU	2686	4508
umls:C0002395	BAX	920	4508
umls:C0002395	BDNF	2709	4508
umls:C0002395	TNF	1996	4508
umls:C0002736	FUS	396	4528
umls:C0002736	SOD1	2737	4528
umls:C0003123	CRH	1	4526
umls:C0003123	CRHR2	1	4526
umls:C0003123	IL1RN	4198	4526
umls:C0003123	NPY	2014	4526
umls:C0003811	GJA1	663	4528
umls:C0003811	KCNJ2	1002	4528
umls:C0003872	HLA-C	1166	4528
umls:C0003872	TNF	742	4528
umls:C0003873	CDK6	2072	4504
umls:C0003873	CCR6	864	4504
umls:C0003873	CTLA4	594	4504
umls:C0003873	FCGR2A	423	4504
umls:C0003873	PADI4	1560	4504
umls:C0003873	PTPN22	236	4504
umls:C0003873	HLA-DRB1	148	4504
umls:C0003873	IL1B	106	4504
umls:C0003873	IL1RN	95	4504
umls:C0003873	IL2RA	802	4504
umls:C0003873	IL6	10	4504
umls:C0003873	IL6R	8	4504
umls:C0003873	IL6ST	397	4504
umls:C0003873	IL10	608	4504
umls:C0003873	IL18	1323	4504
umls:C0003873	IRF5	964	4504
umls:C0003873	CIITA	127	4504
umls:C0003873	MTHFR	4434	4504
umls:C0003873	CD244	90	4504
umls:C0003873	PTPN2	2426	4504
umls:C0003873	CCL21	280	4504
umls:C0003873	STAT4	185	4504
umls:C0003873	TNF	65	4504
umls:C0003873	TNFAIP3	164	4504
umls:C0003873	TRAF1	35	4504
umls:C0003873	CD40	2303	4504
umls:C0004096	ALOX5	627	4511
umls:C0004096	GSTM1	3726	4511
umls:C0004096	TBX21	389	4511
umls:C0004096	HLA-DPB1	157	4511
umls:C0004096	HLA-DQA1	3	4511
umls:C0004096	HLA-DQB1	12	4511
umls:C0004096	HLA-DRB1	327	4511
umls:C0004096	IL1B	63	4511
umls:C0004096	IL1RN	58	4511
umls:C0004096	MMP9	48	4511
umls:C0004096	NOS2	2467	4511
umls:C0004096	CCL2	100	4511
umls:C0004096	CCL5	18	4511
umls:C0004096	CCL11	88	4511
umls:C0004096	TGFB1	52	4511
umls:C0004096	TNF	263	4511
umls:C0004096	IL33	11	4511
umls:C0004096	IL1RL1	16	4511
umls:C0004096	CD14	170	4511
umls:C0004153	AGER	3588	4522
umls:C0004153	ABCA1	2141	4522
umls:C0004153	APOE	65	4522
umls:C0004153	IL6	3677	4522
umls:C0004153	NOS3	84	4522
umls:C0004153	CCL2	2422	4522
umls:C0004153	TLR4	2808	4522
umls:C0004153	TNF	1093	4522
umls:C0004238	ACE	2150	4525
umls:C0004238	KCNN3	3417	4525
umls:C0004238	ZFHX3	3851	4525
umls:C0004238	WNT8A	4258	4525
umls:C0004238	CAV1	1075	4525
umls:C0004352	EXT1	4382	4524
umls:C0004352	GABRB3	901	4524
umls:C0004352	NLGN3	7	4524
umls:C0004352	RELN	2670	4524
umls:C0004352	TSC2	2619	4524
umls:C0004352	NRXN1	5	4524
umls:C0004943	HLA-B	281	4527
umls:C0004943	IL10	237	4527
umls:C0004943	STAT4	662	4527
umls:C0005283	HBA2	22	4528
umls:C0005283	HBB	4	4528
umls:C0005586	ANK3	3196	4525
umls:C0005586	HTR2A	2186	4525
umls:C0005586	BDNF	3497	4525
umls:C0005586	S100B	1016	4525
umls:C0005586	CACNA1C	260	4525
umls:C0005695	GSTM1	4247	4528
umls:C0005695	CDH1	2062	4528
umls:C0006142	CHEK2	11	4523
umls:C0006142	FGFR2	1280	4523
umls:C0006142	LSP1	1324	4523
umls:C0006142	RAD51	13	4523
umls:C0006142	BRCA1	2	4523
umls:C0006142	BRCA2	11	4523
umls:C0006142	BRIP1	81	4523
umls:C0007134	EPAS1	119	4526
umls:C0007134	MET	1925	4526
umls:C0007134	PTGS2	1511	4526
umls:C0007134	VHL	62	4526
umls:C0007137	EGFR	86	4523
umls:C0007137	ERCC2	909	4523
umls:C0007137	GSTM1	4400	4523
umls:C0007137	MMP9	57	4523
umls:C0007137	PTGS2	1896	4523
umls:C0007137	TGFB1	25	4523
umls:C0007137	CDH1	303	4523
umls:C0007193	EGFR	69	4523
umls:C0007193	LMNA	123	4523
umls:C0007193	MYBPC3	9	4523
umls:C0007193	MYH6	356	4523
umls:C0007193	MYH7	2359	4523
umls:C0007193	TTN	5	4523
umls:C0007193	BAG3	568	4523
umls:C0007222	CETP	610	4524
umls:C0007222	ACE	476	4524
umls:C0007222	APOB	762	4524
umls:C0007222	APOE	33	4524
umls:C0007222	MTHFR	4036	4524
umls:C0007222	NOS3	42	4524
umls:C0007570	CTLA4	355	4524
umls:C0007570	ETS1	2823	4524
umls:C0007570	HLA-DQA1	1	4524
umls:C0007570	HLA-DQB1	5	4524
umls:C0007570	MYO9B	4005	4524
umls:C0007570	TGM2	2485	4524
umls:C0007786	ACE	578	4520
umls:C0007786	F2	16	4520
umls:C0007786	F5	25	4520
umls:C0007786	HIF1A	1805	4520
umls:C0007786	IL18	971	4520
umls:C0007786	CXCL10	447	4520
umls:C0007786	MMP9	132	4520
umls:C0007786	MTHFR	4411	4520
umls:C0007786	PTGS2	573	4520
umls:C0007786	CCL2	180	4520
umls:C0007787	HTRA2	2403	4528
umls:C0007787	C3	3152	4528
umls:C0007959	GJB1	3147	4528
umls:C0007959	PMP22	3382	4528
umls:C0008370	IGF1	3124	4528
umls:C0008370	ABCC3	4376	4528
umls:C0008924	IRF6	3587	4528
umls:C0008924	MTHFR	4401	4528
umls:C0009319	IL1B	34	4525
umls:C0009319	IL10	2841	4525
umls:C0009319	MIF	652	4525
umls:C0009319	NOS2	562	4525
umls:C0009319	PTGS2	19	4525
umls:C0009324	FCGR2A	366	4521
umls:C0009324	GNA12	3251	4521
umls:C0009324	HLA-DRB1	300	4521
umls:C0009324	IL10	172	4521
umls:C0009324	LSP1	381	4521
umls:C0009324	MST1	2924	4521
umls:C0009324	NOD2	265	4521
umls:C0009324	CARD9	1433	4521
umls:C0009324	TNF	446	4521
umls:C0009375	DNMT1	600	4526
umls:C0009375	MMP9	3373	4526
umls:C0009375	MTHFR	4421	4526
umls:C0009375	PTGS2	3038	4526
umls:C0009404	DPYD	4186	4517
umls:C0009404	EGFR	121	4517
umls:C0009404	GSTM1	3135	4517
umls:C0009404	MLH1	823	4517
umls:C0009404	MMP2	115	4517
umls:C0009404	MSH2	368	4517
umls:C0009404	MTHFR	4476	4517
umls:C0009404	PTGS2	2561	4517
umls:C0009404	CCND1	1349	4517
umls:C0009404	BRAF	1960	4517
umls:C0009404	TGFB1	68	4517
umls:C0009404	TYMS	990	4517
umls:C0009404	CDH1	664	4517
umls:C0009405	MSH6	3	4527
umls:C0009405	MLH1	225	4527
umls:C0009405	MSH2	5	4527
umls:C0009447	TNFRSF13B	310	4526
umls:C0009447	ICOS	679	4526
umls:C0009447	CD19	496	4526
umls:C0009447	CD81	2363	4526
umls:C0010068	ACE	432	4525
umls:C0010068	APOB	537	4525
umls:C0010068	APOE	116	4525
umls:C0010068	LPL	682	4525
umls:C0010068	MTHFR	4456	4525
umls:C0010346	FUT2	4239	4520
umls:C0010346	PTPN22	166	4520
umls:C0010346	IL2RA	1242	4520
umls:C0010346	IL10	230	4520
umls:C0010346	SMAD3	51	4520
umls:C0010346	MST1	3288	4520
umls:C0010346	PTPN2	1540	4520
umls:C0010346	NOD2	373	4520
umls:C0010346	TLR4	304	4520
umls:C0010346	TNF	685	4520
umls:C0010674	SCNN1B	3619	4528
umls:C0010674	TGFB1	3119	4528
umls:C0011195	EGR2	762	4527
umls:C0011195	GJB1	3800	4527
umls:C0011195	PMP22	3077	4527
umls:C0011581	CRH	4108	4523
umls:C0011581	GSK3B	1523	4523
umls:C0011581	IL6	4005	4523
umls:C0011581	NPY	3	4523
