Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	EGFR	10	4526
umls:C0001418	ERBB2	22	4526
umls:C0001418	IL1B	527	4526
umls:C0001418	PTGS2	633	4526
umls:C0001973	ADH1B	125	4525
umls:C0001973	ALDH2	101	4525
umls:C0001973	GABRA2	561	4525
umls:C0001973	NPY	111	4525
umls:C0001973	OPRM1	604	4525
umls:C0002312	HBA1	1	4527
umls:C0002312	HBA2	7	4527
umls:C0002312	HBB	1	4527
umls:C0002395	TOMM40	1472	4508
umls:C0002395	CYP46A1	2000	4508
umls:C0002395	ACE	3869	4508
umls:C0002395	A2M	22	4508
umls:C0002395	ESR1	91	4508
umls:C0002395	BACE1	403	4508
umls:C0002395	GSK3B	244	4508
umls:C0002395	APOC1	2560	4508
umls:C0002395	IDE	122	4508
umls:C0002395	APOE	115	4508
umls:C0002395	IGF2	47	4508
umls:C0002395	APP	1	4508
umls:C0002395	IL1B	633	4508
umls:C0002395	INS	239	4508
umls:C0002395	LEP	184	4508
umls:C0002395	MTHFR	2197	4508
umls:C0002395	NOS3	44	4508
umls:C0002395	NPY	1141	4508
umls:C0002395	PLAU	568	4508
umls:C0002395	BAX	658	4508
umls:C0002395	BDNF	734	4508
umls:C0002395	TNF	457	4508
umls:C0002736	FUS	1899	4528
umls:C0002736	SOD1	2370	4528
umls:C0003123	CRH	2	4526
umls:C0003123	CRHR2	2	4526
umls:C0003123	IL1RN	4047	4526
umls:C0003123	NPY	185	4526
umls:C0003811	GJA1	801	4528
umls:C0003811	KCNJ2	2247	4528
umls:C0003872	HLA-C	1910	4528
umls:C0003872	TNF	637	4528
umls:C0003873	CDK6	729	4504
umls:C0003873	CCR6	454	4504
umls:C0003873	CTLA4	2275	4504
umls:C0003873	FCGR2A	1025	4504
umls:C0003873	PADI4	1623	4504
umls:C0003873	PTPN22	256	4504
umls:C0003873	HLA-DRB1	190	4504
umls:C0003873	IL1B	24	4504
umls:C0003873	IL1RN	100	4504
umls:C0003873	IL2RA	285	4504
umls:C0003873	IL6	4	4504
umls:C0003873	IL6R	2	4504
umls:C0003873	IL6ST	47	4504
umls:C0003873	IL10	425	4504
umls:C0003873	IL18	152	4504
umls:C0003873	IRF5	171	4504
umls:C0003873	CIITA	782	4504
umls:C0003873	MTHFR	4343	4504
umls:C0003873	CD244	640	4504
umls:C0003873	PTPN2	392	4504
umls:C0003873	CCL21	333	4504
umls:C0003873	STAT4	84	4504
umls:C0003873	TNF	37	4504
umls:C0003873	TNFAIP3	46	4504
umls:C0003873	TRAF1	45	4504
umls:C0003873	CD40	316	4504
umls:C0004096	ALOX5	812	4511
umls:C0004096	GSTM1	1329	4511
umls:C0004096	TBX21	1648	4511
umls:C0004096	HLA-DPB1	252	4511
umls:C0004096	HLA-DQA1	4	4511
umls:C0004096	HLA-DQB1	7	4511
umls:C0004096	HLA-DRB1	313	4511
umls:C0004096	IL1B	7	4511
umls:C0004096	IL1RN	50	4511
umls:C0004096	MMP9	85	4511
umls:C0004096	NOS2	337	4511
umls:C0004096	CCL2	64	4511
umls:C0004096	CCL5	38	4511
umls:C0004096	CCL11	104	4511
umls:C0004096	TGFB1	17	4511
umls:C0004096	TNF	127	4511
umls:C0004096	IL33	1	4511
umls:C0004096	IL1RL1	3	4511
umls:C0004096	CD14	229	4511
umls:C0004153	AGER	1269	4522
umls:C0004153	ABCA1	922	4522
umls:C0004153	APOE	80	4522
umls:C0004153	IL6	1390	4522
umls:C0004153	NOS3	41	4522
umls:C0004153	CCL2	1944	4522
umls:C0004153	TLR4	325	4522
umls:C0004153	TNF	205	4522
umls:C0004238	ACE	3799	4525
umls:C0004238	KCNN3	3153	4525
umls:C0004238	ZFHX3	4157	4525
umls:C0004238	WNT8A	1958	4525
umls:C0004238	CAV1	124	4525
umls:C0004352	EXT1	3135	4524
umls:C0004352	GABRB3	1064	4524
umls:C0004352	NLGN3	5	4524
umls:C0004352	RELN	1156	4524
umls:C0004352	TSC2	822	4524
umls:C0004352	NRXN1	4	4524
umls:C0004943	HLA-B	401	4527
umls:C0004943	IL10	375	4527
umls:C0004943	STAT4	261	4527
umls:C0005283	HBA2	6	4528
umls:C0005283	HBB	5	4528
umls:C0005586	ANK3	1560	4525
umls:C0005586	HTR2A	134	4525
umls:C0005586	BDNF	1539	4525
umls:C0005586	S100B	2050	4525
