Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	EGFR	20	4526
umls:C0001418	ERBB2	29	4526
umls:C0001418	IL1B	71	4526
umls:C0001418	PTGS2	60	4526
umls:C0001973	ADH1B	77	4525
umls:C0001973	ALDH2	173	4525
umls:C0001973	GABRA2	970	4525
umls:C0001973	NPY	202	4525
umls:C0001973	OPRM1	1642	4525
umls:C0002312	HBA1	1	4527
umls:C0002312	HBA2	4	4527
umls:C0002312	HBB	1	4527
umls:C0002395	TOMM40	594	4508
umls:C0002395	CYP46A1	2462	4508
umls:C0002395	ACE	2855	4508
umls:C0002395	A2M	25	4508
umls:C0002395	ESR1	165	4508
umls:C0002395	BACE1	637	4508
umls:C0002395	GSK3B	1089	4508
umls:C0002395	APOC1	54	4508
umls:C0002395	IDE	196	4508
umls:C0002395	APOE	1	4508
umls:C0002395	IGF2	68	4508
umls:C0002395	APP	11	4508
umls:C0002395	IL1B	1567	4508
umls:C0002395	INS	581	4508
umls:C0002395	LEP	214	4508
umls:C0002395	MTHFR	3306	4508
umls:C0002395	NOS3	116	4508
umls:C0002395	NPY	2464	4508
umls:C0002395	PLAU	1546	4508
umls:C0002395	BAX	599	4508
umls:C0002395	BDNF	1611	4508
umls:C0002395	TNF	979	4508
umls:C0002736	FUS	678	4528
umls:C0002736	SOD1	2627	4528
umls:C0003123	CRH	2	4526
umls:C0003123	CRHR2	2	4526
umls:C0003123	IL1RN	3214	4526
umls:C0003123	NPY	289	4526
umls:C0003811	GJA1	490	4528
umls:C0003811	KCNJ2	1097	4528
umls:C0003872	HLA-C	1338	4528
umls:C0003872	TNF	477	4528
umls:C0003873	CDK6	1597	4504
umls:C0003873	CCR6	333	4504
umls:C0003873	CTLA4	674	4504
umls:C0003873	FCGR2A	394	4504
umls:C0003873	PADI4	1877	4504
umls:C0003873	PTPN22	166	4504
umls:C0003873	HLA-DRB1	58	4504
umls:C0003873	IL1B	24	4504
umls:C0003873	IL1RN	63	4504
umls:C0003873	IL2RA	172	4504
umls:C0003873	IL6	8	4504
umls:C0003873	IL6R	9	4504
umls:C0003873	IL6ST	130	4504
umls:C0003873	IL10	208	4504
umls:C0003873	IL18	352	4504
umls:C0003873	IRF5	261	4504
umls:C0003873	CIITA	200	4504
umls:C0003873	MTHFR	4405	4504
umls:C0003873	CD244	219	4504
umls:C0003873	PTPN2	813	4504
umls:C0003873	CCL21	188	4504
umls:C0003873	STAT4	72	4504
umls:C0003873	TNF	25	4504
umls:C0003873	TNFAIP3	101	4504
umls:C0003873	TRAF1	23	4504
umls:C0003873	CD40	588	4504
umls:C0004096	ALOX5	433	4511
umls:C0004096	GSTM1	2502	4511
umls:C0004096	TBX21	414	4511
umls:C0004096	HLA-DPB1	62	4511
umls:C0004096	HLA-DQA1	3	4511
umls:C0004096	HLA-DQB1	7	4511
umls:C0004096	HLA-DRB1	111	4511
umls:C0004096	IL1B	14	4511
umls:C0004096	IL1RN	33	4511
umls:C0004096	MMP9	74	4511
umls:C0004096	NOS2	584	4511
umls:C0004096	CCL2	109	4511
umls:C0004096	CCL5	20	4511
umls:C0004096	CCL11	95	4511
umls:C0004096	TGFB1	54	4511
umls:C0004096	TNF	143	4511
umls:C0004096	IL33	2	4511
umls:C0004096	IL1RL1	2	4511
umls:C0004096	CD14	123	4511
umls:C0004153	AGER	2399	4522
umls:C0004153	ABCA1	1487	4522
umls:C0004153	APOE	128	4522
umls:C0004153	IL6	2105	4522
umls:C0004153	NOS3	95	4522
umls:C0004153	CCL2	1409	4522
umls:C0004153	TLR4	722	4522
umls:C0004153	TNF	242	4522
umls:C0004238	ACE	3234	4525
umls:C0004238	KCNN3	3805	4525
umls:C0004238	ZFHX3	4294	4525
umls:C0004238	WNT8A	3134	4525
umls:C0004238	CAV1	315	4525
umls:C0004352	EXT1	3645	4524
umls:C0004352	GABRB3	1422	4524
umls:C0004352	NLGN3	5	4524
umls:C0004352	RELN	1772	4524
umls:C0004352	TSC2	2068	4524
umls:C0004352	NRXN1	4	4524
umls:C0004943	HLA-B	252	4527
umls:C0004943	IL10	200	4527
umls:C0004943	STAT4	215	4527
umls:C0005283	HBA2	6	4528
umls:C0005283	HBB	2	4528
umls:C0005586	ANK3	2707	4525
umls:C0005586	HTR2A	167	4525
umls:C0005586	BDNF	2882	4525
umls:C0005586	S100B	1552	4525
umls:C0005586	CACNA1C	28	4525
umls:C0005695	GSTM1	4233	4528
umls:C0005695	CDH1	1352	4528
umls:C0006142	CHEK2	15	4523
umls:C0006142	FGFR2	1122	4523
umls:C0006142	LSP1	1078	4523
umls:C0006142	RAD51	6	4523
umls:C0006142	BRCA1	1	4523
umls:C0006142	BRCA2	5	4523
umls:C0006142	BRIP1	28	4523
umls:C0007134	EPAS1	29	4526
umls:C0007134	MET	989	4526
umls:C0007134	PTGS2	1597	4526
umls:C0007134	VHL	21	4526
umls:C0007137	EGFR	40	4523
umls:C0007137	ERCC2	1111	4523
umls:C0007137	GSTM1	3313	4523
umls:C0007137	MMP9	34	4523
umls:C0007137	PTGS2	1222	4523
umls:C0007137	TGFB1	36	4523
umls:C0007137	CDH1	75	4523
umls:C0007193	EGFR	81	4523
umls:C0007193	LMNA	208	4523
umls:C0007193	MYBPC3	3	4523
umls:C0007193	MYH6	47	4523
umls:C0007193	MYH7	116	4523
umls:C0007193	TTN	3	4523
umls:C0007193	BAG3	1089	4523
umls:C0007222	CETP	126	4524
umls:C0007222	ACE	1343	4524
umls:C0007222	APOB	23	4524
umls:C0007222	APOE	14	4524
umls:C0007222	MTHFR	2619	4524
umls:C0007222	NOS3	30	4524
umls:C0007570	CTLA4	404	4524
umls:C0007570	ETS1	2492	4524
umls:C0007570	HLA-DQA1	1	4524
umls:C0007570	HLA-DQB1	5	4524
umls:C0007570	MYO9B	3662	4524
umls:C0007570	TGM2	2868	4524
umls:C0007786	ACE	1060	4520
umls:C0007786	F2	10	4520
umls:C0007786	F5	15	4520
umls:C0007786	HIF1A	604	4520
umls:C0007786	IL18	746	4520
umls:C0007786	CXCL10	238	4520
umls:C0007786	MMP9	146	4520
