Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	EGFR	47	4526
umls:C0001418	ERBB2	64	4526
umls:C0001418	IL1B	561	4526
umls:C0001418	PTGS2	606	4526
umls:C0001973	ADH1B	80	4525
umls:C0001973	ALDH2	64	4525
umls:C0001973	GABRA2	2487	4525
umls:C0001973	NPY	203	4525
umls:C0001973	OPRM1	321	4525
umls:C0002312	HBA1	6	4527
umls:C0002312	HBA2	6	4527
umls:C0002312	HBB	1	4527
umls:C0002395	TOMM40	940	4508
umls:C0002395	CYP46A1	775	4508
umls:C0002395	ACE	3691	4508
umls:C0002395	A2M	738	4508
umls:C0002395	ESR1	258	4508
umls:C0002395	BACE1	249	4508
umls:C0002395	GSK3B	512	4508
umls:C0002395	APOC1	1878	4508
umls:C0002395	IDE	3400	4508
umls:C0002395	APOE	771	4508
umls:C0002395	IGF2	762	4508
umls:C0002395	APP	3	4508
umls:C0002395	IL1B	650	4508
umls:C0002395	INS	434	4508
umls:C0002395	LEP	766	4508
umls:C0002395	MTHFR	791	4508
umls:C0002395	NOS3	192	4508
umls:C0002395	NPY	784	4508
umls:C0002395	PLAU	562	4508
umls:C0002395	BAX	650	4508
umls:C0002395	BDNF	585	4508
umls:C0002395	TNF	471	4508
umls:C0002736	FUS	2492	4528
umls:C0002736	SOD1	1788	4528
umls:C0003123	CRH	12	4526
umls:C0003123	CRHR2	15	4526
umls:C0003123	IL1RN	3218	4526
umls:C0003123	NPY	52	4526
umls:C0003811	GJA1	683	4528
umls:C0003811	KCNJ2	1444	4528
umls:C0003872	HLA-C	1908	4528
umls:C0003872	TNF	521	4528
umls:C0003873	CDK6	1208	4504
umls:C0003873	CCR6	202	4504
umls:C0003873	CTLA4	1084	4504
umls:C0003873	FCGR2A	531	4504
umls:C0003873	PADI4	2750	4504
umls:C0003873	PTPN22	321	4504
umls:C0003873	HLA-DRB1	64	4504
umls:C0003873	IL1B	2	4504
umls:C0003873	IL1RN	233	4504
umls:C0003873	IL2RA	29	4504
umls:C0003873	IL6	27	4504
umls:C0003873	IL6R	52	4504
umls:C0003873	IL6ST	30	4504
umls:C0003873	IL10	154	4504
umls:C0003873	IL18	115	4504
umls:C0003873	IRF5	145	4504
umls:C0003873	CIITA	817	4504
umls:C0003873	MTHFR	3410	4504
umls:C0003873	CD244	2052	4504
umls:C0003873	PTPN2	313	4504
umls:C0003873	CCL21	301	4504
umls:C0003873	STAT4	56	4504
umls:C0003873	TNF	9	4504
umls:C0003873	TNFAIP3	138	4504
umls:C0003873	TRAF1	62	4504
umls:C0003873	CD40	192	4504
umls:C0004096	ALOX5	543	4511
umls:C0004096	GSTM1	663	4511
umls:C0004096	TBX21	914	4511
umls:C0004096	HLA-DPB1	103	4511
umls:C0004096	HLA-DQA1	33	4511
umls:C0004096	HLA-DQB1	103	4511
umls:C0004096	HLA-DRB1	101	4511
umls:C0004096	IL1B	3	4511
umls:C0004096	IL1RN	153	4511
umls:C0004096	MMP9	579	4511
umls:C0004096	NOS2	97	4511
umls:C0004096	CCL2	354	4511
umls:C0004096	CCL5	366	4511
umls:C0004096	CCL11	416	4511
umls:C0004096	TGFB1	250	4511
umls:C0004096	TNF	208	4511
umls:C0004096	IL33	1	4511
umls:C0004096	IL1RL1	3	4511
umls:C0004096	CD14	316	4511
umls:C0004153	AGER	882	4522
umls:C0004153	ABCA1	905	4522
umls:C0004153	APOE	782	4522
umls:C0004153	IL6	295	4522
umls:C0004153	NOS3	353	4522
umls:C0004153	CCL2	664	4522
umls:C0004153	TLR4	147	4522
umls:C0004153	TNF	85	4522
umls:C0004238	ACE	3830	4525
umls:C0004238	KCNN3	3148	4525
umls:C0004238	ZFHX3	4197	4525
umls:C0004238	WNT8A	467	4525
umls:C0004238	CAV1	182	4525
umls:C0004352	EXT1	1597	4524
umls:C0004352	GABRB3	2693	4524
umls:C0004352	NLGN3	13	4524
