Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	EGFR	86	4526
umls:C0001418	ERBB2	58	4526
umls:C0001418	IL1B	49	4526
umls:C0001418	PTGS2	28	4526
umls:C0001973	ADH1B	21	4525
umls:C0001973	ALDH2	132	4525
umls:C0001973	GABRA2	3298	4525
umls:C0001973	NPY	1173	4525
umls:C0001973	OPRM1	1394	4525
umls:C0002312	HBA1	5	4527
umls:C0002312	HBA2	3	4527
umls:C0002312	HBB	2	4527
umls:C0002395	TOMM40	409	4508
umls:C0002395	CYP46A1	1488	4508
umls:C0002395	ACE	2244	4508
umls:C0002395	A2M	389	4508
umls:C0002395	ESR1	424	4508
umls:C0002395	BACE1	345	4508
umls:C0002395	GSK3B	2267	4508
umls:C0002395	APOC1	19	4508
umls:C0002395	IDE	3674	4508
umls:C0002395	APOE	6	4508
umls:C0002395	IGF2	810	4508
umls:C0002395	APP	66	4508
umls:C0002395	IL1B	2224	4508
umls:C0002395	INS	1842	4508
umls:C0002395	LEP	2689	4508
umls:C0002395	MTHFR	2180	4508
umls:C0002395	NOS3	1156	4508
umls:C0002395	NPY	2556	4508
umls:C0002395	PLAU	1909	4508
umls:C0002395	BAX	709	4508
umls:C0002395	BDNF	1787	4508
umls:C0002395	TNF	1197	4508
umls:C0002736	FUS	581	4528
umls:C0002736	SOD1	2442	4528
umls:C0003123	CRH	12	4526
umls:C0003123	CRHR2	10	4526
umls:C0003123	IL1RN	1794	4526
umls:C0003123	NPY	160	4526
umls:C0003811	GJA1	471	4528
umls:C0003811	KCNJ2	599	4528
umls:C0003872	HLA-C	1101	4528
umls:C0003872	TNF	423	4528
umls:C0003873	CDK6	2299	4504
umls:C0003873	CCR6	167	4504
umls:C0003873	CTLA4	278	4504
umls:C0003873	FCGR2A	216	4504
umls:C0003873	PADI4	2459	4504
umls:C0003873	PTPN22	157	4504
umls:C0003873	HLA-DRB1	14	4504
umls:C0003873	IL1B	61	4504
umls:C0003873	IL1RN	105	4504
umls:C0003873	IL2RA	40	4504
umls:C0003873	IL6	312	4504
umls:C0003873	IL6R	280	4504
umls:C0003873	IL6ST	284	4504
umls:C0003873	IL10	79	4504
umls:C0003873	IL18	374	4504
umls:C0003873	IRF5	250	4504
umls:C0003873	CIITA	167	4504
umls:C0003873	MTHFR	3963	4504
umls:C0003873	CD244	372	4504
umls:C0003873	PTPN2	766	4504
umls:C0003873	CCL21	148	4504
umls:C0003873	STAT4	74	4504
umls:C0003873	TNF	45	4504
umls:C0003873	TNFAIP3	390	4504
umls:C0003873	TRAF1	27	4504
umls:C0003873	CD40	423	4504
umls:C0004096	ALOX5	302	4511
umls:C0004096	GSTM1	2003	4511
umls:C0004096	TBX21	157	4511
umls:C0004096	HLA-DPB1	14	4511
umls:C0004096	HLA-DQA1	14	4511
umls:C0004096	HLA-DQB1	33	4511
umls:C0004096	HLA-DRB1	21	4511
umls:C0004096	IL1B	32	4511
umls:C0004096	IL1RN	53	4511
umls:C0004096	MMP9	283	4511
umls:C0004096	NOS2	317	4511
umls:C0004096	CCL2	436	4511
umls:C0004096	CCL5	81	4511
umls:C0004096	CCL11	269	4511
umls:C0004096	TGFB1	965	4511
umls:C0004096	TNF	265	4511
umls:C0004096	IL33	1	4511
umls:C0004096	IL1RL1	2	4511
umls:C0004096	CD14	171	4511
umls:C0004153	AGER	2182	4522
umls:C0004153	ABCA1	1734	4522
umls:C0004153	APOE	1404	4522
umls:C0004153	IL6	1111	4522
umls:C0004153	NOS3	1483	4522
umls:C0004153	CCL2	577	4522
umls:C0004153	TLR4	520	4522
umls:C0004153	TNF	178	4522
umls:C0004238	ACE	2831	4525
umls:C0004238	KCNN3	4165	4525
umls:C0004238	ZFHX3	4328	4525
umls:C0004238	WNT8A	2015	4525
umls:C0004238	CAV1	618	4525
umls:C0004352	EXT1	2491	4524
umls:C0004352	GABRB3	2559	4524
umls:C0004352	NLGN3	45	4524
umls:C0004352	RELN	1678	4524
umls:C0004352	TSC2	2838	4524
umls:C0004352	NRXN1	17	4524
umls:C0004943	HLA-B	306	4527
umls:C0004943	IL10	143	4527
umls:C0004943	STAT4	152	4527
umls:C0005283	HBA2	3	4528
umls:C0005283	HBB	2	4528
umls:C0005586	ANK3	2909	4525
umls:C0005586	HTR2A	88	4525
umls:C0005586	BDNF	2957	4525
umls:C0005586	S100B	1902	4525
umls:C0005586	CACNA1C	8	4525
umls:C0005695	GSTM1	4059	4528
umls:C0005695	CDH1	1765	4528
umls:C0006142	CHEK2	66	4523
umls:C0006142	FGFR2	2583	4523
umls:C0006142	LSP1	1788	4523
umls:C0006142	RAD51	16	4523
umls:C0006142	BRCA1	4	4523
umls:C0006142	BRCA2	17	4523
umls:C0006142	BRIP1	18	4523
umls:C0007134	EPAS1	123	4526
umls:C0007134	MET	1371	4526
umls:C0007134	PTGS2	2122	4526
umls:C0007134	VHL	226	4526
umls:C0007137	EGFR	501	4523
umls:C0007137	ERCC2	1135	4523
umls:C0007137	GSTM1	2446	4523
umls:C0007137	MMP9	356	4523
umls:C0007137	PTGS2	1757	4523
umls:C0007137	TGFB1	2164	4523
umls:C0007137	CDH1	216	4523
umls:C0007193	EGFR	128	4523
umls:C0007193	LMNA	192	4523
umls:C0007193	MYBPC3	12	4523
umls:C0007193	MYH6	35	4523
umls:C0007193	MYH7	62	4523
umls:C0007193	TTN	31	4523
umls:C0007193	BAG3	1358	4523
umls:C0007222	CETP	80	4524
umls:C0007222	ACE	1691	4524
umls:C0007222	APOB	13	4524
umls:C0007222	APOE	49	4524
umls:C0007222	MTHFR	1854	4524
umls:C0007222	NOS3	456	4524
umls:C0007570	CTLA4	216	4524
umls:C0007570	ETS1	3130	4524
umls:C0007570	HLA-DQA1	7	4524
umls:C0007570	HLA-DQB1	19	4524
umls:C0007570	MYO9B	3247	4524
umls:C0007570	TGM2	3413	4524
umls:C0007786	ACE	1348	4520
umls:C0007786	F2	201	4520
umls:C0007786	F5	184	4520
umls:C0007786	HIF1A	1141	4520
umls:C0007786	IL18	2009	4520
umls:C0007786	CXCL10	157	4520
umls:C0007786	MMP9	470	4520
umls:C0007786	MTHFR	2273	4520
umls:C0007786	PTGS2	908	4520
umls:C0007786	CCL2	386	4520
umls:C0007787	HTRA2	3631	4528
umls:C0007787	C3	2731	4528
umls:C0007959	GJB1	4275	4528
umls:C0007959	PMP22	3196	4528
umls:C0008370	IGF1	778	4528
umls:C0008370	ABCC3	3946	4528
umls:C0008924	IRF6	2605	4528
umls:C0008924	MTHFR	3827	4528
umls:C0009319	IL1B	22	4525
umls:C0009319	IL10	112	4525
umls:C0009319	MIF	2638	4525
umls:C0009319	NOS2	66	4525
umls:C0009319	PTGS2	28	4525
umls:C0009324	FCGR2A	94	4521
umls:C0009324	GNA12	2624	4521
umls:C0009324	HLA-DRB1	133	4521
umls:C0009324	IL10	36	4521
umls:C0009324	LSP1	146	4521
umls:C0009324	MST1	1196	4521
umls:C0009324	NOD2	21	4521
umls:C0009324	CARD9	73	4521
umls:C0009324	TNF	84	4521
umls:C0009375	DNMT1	487	4526
umls:C0009375	MMP9	1472	4526
umls:C0009375	MTHFR	1470	4526
umls:C0009375	PTGS2	691	4526
umls:C0009404	DPYD	1508	4517
umls:C0009404	EGFR	359	4517
umls:C0009404	GSTM1	2378	4517
umls:C0009404	MLH1	42	4517
umls:C0009404	MMP2	1091	4517
