Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	CDKN2A	845	17552
umls:C0001418	EGFR	41	17552
umls:C0001418	ERBB2	81	17552
umls:C0001418	IL1B	2610	17552
umls:C0001418	KRAS	240	17552
umls:C0001418	PTEN	168	17552
umls:C0001418	PTGS2	1543	17552
umls:C0001418	TP53	21	17552
umls:C0001430	APC	503	17557
umls:C0001430	KRAS	893	17557
umls:C0001430	TP53	44	17557
umls:C0001973	ADH1B	19	17551
umls:C0001973	ADH1C	19	17551
umls:C0001973	COMT	504	17551
umls:C0001973	CYP2E1	380	17551
umls:C0001973	ALDH2	374	17551
umls:C0001973	GABRA2	8021	17551
umls:C0001973	NPY	2864	17551
umls:C0001973	OPRM1	3423	17551
umls:C0001973	SLC6A4	8870	17551
umls:C0002171	IL2RA	41	17557
umls:C0002171	STX17	15155	17557
umls:C0002171	IKZF4	2981	17557
umls:C0002312	HBA1	2	17557
umls:C0002312	HBA2	2	17557
umls:C0002312	HBB	1	17557
umls:C0002395	ABCA7	8422	17516
umls:C0002395	TOMM40	1603	17516
umls:C0002395	CYP46A1	4923	17516
umls:C0002395	CLU	906	17516
umls:C0002395	CR1	3637	17516
umls:C0002395	CST3	4259	17516
umls:C0002395	ACE	4387	17516
umls:C0002395	A2M	143	17516
umls:C0002395	ESR1	295	17516
umls:C0002395	CD2AP	6589	17516
umls:C0002395	BACE1	1705	17516
umls:C0002395	PCDH11X	9676	17516
umls:C0002395	BIN1	312	17516
umls:C0002395	GSK3B	150	17516
umls:C0002395	HFE	9344	17516
umls:C0002395	APOC1	1090	17516
umls:C0002395	IDE	1556	17516
umls:C0002395	APOE	17	17516
umls:C0002395	IGF1R	347	17516
umls:C0002395	IGF2	58	17516
umls:C0002395	APP	2	17516
umls:C0002395	IL1B	4082	17516
umls:C0002395	INS	721	17516
umls:C0002395	INSR	304	17516
umls:C0002395	LEP	3085	17516
umls:C0002395	MAPT	742	17516
umls:C0002395	MTHFR	6769	17516
umls:C0002395	NOS3	133	17516
umls:C0002395	NPY	5025	17516
umls:C0002395	PLAU	3700	17516
umls:C0002395	TREM2	566	17516
umls:C0002395	PRNP	412	17516
umls:C0002395	PSEN1	84	17516
umls:C0002395	PSEN2	243	17516
umls:C0002395	BAX	367	17516
umls:C0002395	BCHE	15004	17516
umls:C0002395	BCL2	221	17516
umls:C0002395	BDNF	1427	17516
umls:C0002395	SORL1	4238	17516
umls:C0002395	TF	609	17516
umls:C0002395	TNF	2587	17516
umls:C0002395	PICALM	1615	17516
umls:C0002395	CD33	10075	17516
umls:C0002395	GAB2	415	17516
umls:C0002736	DPP6	7604	17550
umls:C0002736	C9orf72	13632	17550
umls:C0002736	ERBB4	4393	17550
umls:C0002736	UNC13A	14960	17550
umls:C0002736	TARDBP	238	17550
umls:C0002736	FUS	473	17550
umls:C0002736	CHMP2B	3735	17550
umls:C0002736	PON1	17382	17550
umls:C0002736	SOD1	7154	17550
umls:C0002736	SQSTM1	1614	17550
umls:C0002871	EPO	6554	17558
umls:C0002871	HAMP	10337	17558
umls:C0002874	TERC	2627	17558
umls:C0002874	TERT	15	17558
umls:C0003123	CRH	10	17556
umls:C0003123	CRHR2	6	17556
umls:C0003123	IL1RN	889	17556
umls:C0003123	NPY	87	17556
umls:C0003469	HTR7	3036	17557
umls:C0003469	NPY1R	510	17557
umls:C0003469	SLC6A4	6223	17557
umls:C0003811	GJA1	4269	17557
umls:C0003811	KCNJ2	781	17557
umls:C0003811	OPRK1	2931	17557
umls:C0003872	TRAF3IP2	5136	17557
umls:C0003872	HLA-C	3746	17557
umls:C0003872	TNF	454	17557
umls:C0003873	RASGRP1	4840	17520
umls:C0003873	CDK6	1718	17520
umls:C0003873	PLD4	875	17520
umls:C0003873	CCR6	1928	17520
umls:C0003873	CRP	7167	17520
umls:C0003873	CTLA4	951	17520
umls:C0003873	SPRED2	4022	17520
umls:C0003873	FCGR2A	689	17520
umls:C0003873	PADI4	4754	17520
umls:C0003873	PTPN22	1070	17520
umls:C0003873	GATA3	2005	17520
