Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
umls:C0001418	CDKN2A	563	17552
umls:C0001418	EGFR	32	17552
umls:C0001418	ERBB2	44	17552
umls:C0001418	IL1B	211	17552
umls:C0001418	KRAS	755	17552
umls:C0001418	PTEN	271	17552
umls:C0001418	PTGS2	53	17552
umls:C0001418	TP53	34	17552
umls:C0001430	APC	247	17557
umls:C0001430	KRAS	821	17557
umls:C0001430	TP53	156	17557
umls:C0001973	ADH1B	47	17551
umls:C0001973	ADH1C	70	17551
umls:C0001973	COMT	259	17551
umls:C0001973	CYP2E1	89	17551
umls:C0001973	ALDH2	101	17551
umls:C0001973	GABRA2	2269	17551
umls:C0001973	NPY	771	17551
umls:C0001973	OPRM1	3344	17551
umls:C0001973	SLC6A4	4030	17551
umls:C0002171	IL2RA	1665	17557
umls:C0002171	STX17	14221	17557
umls:C0002171	IKZF4	8641	17557
umls:C0002312	HBA1	1	17557
umls:C0002312	HBA2	4	17557
umls:C0002312	HBB	1	17557
umls:C0002395	ABCA7	9056	17516
umls:C0002395	TOMM40	979	17516
umls:C0002395	CYP46A1	3388	17516
umls:C0002395	CLU	2031	17516
umls:C0002395	CR1	5687	17516
umls:C0002395	CST3	5868	17516
umls:C0002395	ACE	5365	17516
umls:C0002395	A2M	17	17516
umls:C0002395	ESR1	179	17516
umls:C0002395	CD2AP	4771	17516
umls:C0002395	BACE1	624	17516
umls:C0002395	PCDH11X	5892	17516
umls:C0002395	BIN1	1008	17516
umls:C0002395	GSK3B	257	17516
umls:C0002395	HFE	2934	17516
umls:C0002395	APOC1	179	17516
umls:C0002395	IDE	608	17516
umls:C0002395	APOE	4	17516
umls:C0002395	IGF1R	460	17516
umls:C0002395	IGF2	52	17516
umls:C0002395	APP	4	17516
umls:C0002395	IL1B	2893	17516
umls:C0002395	INS	931	17516
umls:C0002395	INSR	572	17516
umls:C0002395	LEP	631	17516
umls:C0002395	MAPT	715	17516
umls:C0002395	MTHFR	7873	17516
umls:C0002395	NOS3	210	17516
umls:C0002395	NPY	4363	17516
umls:C0002395	PLAU	2707	17516
umls:C0002395	TREM2	2364	17516
umls:C0002395	PRNP	300	17516
umls:C0002395	PSEN1	66	17516
umls:C0002395	PSEN2	122	17516
umls:C0002395	BAX	111	17516
umls:C0002395	BCHE	15902	17516
umls:C0002395	BCL2	109	17516
umls:C0002395	BDNF	1902	17516
umls:C0002395	SORL1	503	17516
umls:C0002395	TF	175	17516
umls:C0002395	TNF	1056	17516
umls:C0002395	PICALM	2480	17516
umls:C0002395	CD33	5075	17516
umls:C0002395	GAB2	729	17516
umls:C0002736	DPP6	9738	17550
umls:C0002736	C9orf72	11363	17550
umls:C0002736	ERBB4	3047	17550
umls:C0002736	UNC13A	13282	17550
umls:C0002736	TARDBP	84	17550
umls:C0002736	FUS	77	17550
umls:C0002736	CHMP2B	1271	17550
umls:C0002736	PON1	17351	17550
umls:C0002736	SOD1	4240	17550
umls:C0002736	SQSTM1	164	17550
umls:C0002871	EPO	9116	17558
umls:C0002871	HAMP	13364	17558
umls:C0002874	TERC	894	17558
umls:C0002874	TERT	31	17558
umls:C0003123	CRH	2	17556
