Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	2538	12620
101400	TWIST1	4071	12620
101600	FGFR1	24	12620
101600	FGFR2	22	12620
102200	AIP	458	12620
102200	GNAS	405	12620
103780	ADH1B	6081	12618
103780	GABRA2	10923	12618
103780	HTR2A	12502	12618
103780	RCBTB1	5482	12618
104300	A2M	38	12612
104300	ACE	9099	12612
104300	APBB2	10799	12612
104300	APP	11	12612
104300	BLMH	365	12612
104300	HFE	12056	12612
104300	NOS3	45	12612
104300	PAXIP1	39	12612
104300	PLAU	568	12612
104300	SORL1	6871	12612
105200	APOA1	1624	12618
105200	B2M	2478	12618
105200	FGA	2466	12618
105200	LYZ	7038	12618
105400	DCTN1	1038	12618
105400	NEFH	3600	12618
105400	PRPH	2500	12618
105400	SOD1	2779	12618
106210	ELP4	9633	12619
106210	PAX6	3384	12619
106210	WT1	2289	12619
109400	PTCH1	10131	12620
109400	SUFU	3879	12620
109800	FGFR3	3837	12618
109800	HRAS	210	12618
109800	KRAS	211	12618
109800	RB1	671	12618
112600	BMP2	4	12619
112600	BMPR1B	3	12619
112600	GDF5	4	12619
113650	EYA1	6	12620
113650	SIX1	2	12620
113800	KRT1	3402	12620
113800	KRT10	4266	12620
114480	AKT1	121	12598
114480	ATM	58	12598
114480	BARD1	16	12598
114480	BRCA1	4	12598
114480	BRCA2	45	12598
114480	BRIP1	407	12598
114480	CASP8	114	12598
114480	CDH1	2161	12598
114480	CHEK2	48	12598
114480	ESR1	33	12598
114480	HMMR	334	12598
114480	KRAS	109	12598
114480	NQO2	8469	12598
114480	PALB2	20	12598
114480	PHB	574	12598
114480	PIK3CA	140	12598
114480	PPM1D	241	12598
114480	RAD51	35	12598
114480	RAD54L	10992	12598
114480	RB1CC1	137	12598
114480	SLC22A18	11195	12598
114480	TP53	22	12598
114480	TSG101	426	12598
114480	XRCC3	73	12598
114500	AKT1	1	12609
114500	APC	31	12609
114500	BUB1B	276	12609
114500	CTNNB1	111	12609
114500	DCC	2531	12609
114500	DLC1	710	12609
114500	EP300	113	12609
114500	FGFR3	4411	12609
114500	FLCN	6747	12609
114500	NRAS	1829	12609
114500	PIK3CA	881	12609
114500	SRC	456	12609
114500	TP53	111	12609
114550	APC	14	12614
114550	AXIN1	67	12614
114550	CASP8	404	12614
114550	CTNNB1	11	12614
114550	IGF2R	5738	12614
114550	MET	872	12614
114550	PIK3CA	872	12614
114550	TP53	18	12614
120435	MSH2	129	12620
120435	PMS1	2870	12620
122700	CYP2A6	144	12618
122700	CYP2C9	8	12618
122700	F9	10469	12618
122700	VKORC1	2006	12618
123150	FGFR1	24	12620
123150	FGFR2	22	12620
123400	HLA-DQB1	10619	12620
123400	PRNP	741	12620
125853	AKT2	327	12597
125853	CDKAL1	10366	12597
125853	ENPP1	1522	12597
125853	GCGR	8074	12597
125853	GCK	5383	12597
125853	HMGA1	269	12597
125853	HNF1A	29	12597
125853	HNF1B	62	12597
125853	HNF4A	525	12597
125853	IGF2BP2	7769	12597
125853	IRS1	119	12597
125853	IRS2	379	12597
125853	LIPC	1476	12597
125853	MAPK8IP1	535	12597
125853	NEUROD1	202	12597
125853	PAX4	10991	12597
125853	PDX1	210	12597
125853	PPARG	175	12597
125853	PPP1R3A	12345	12597
125853	PTPN1	108	12597
125853	RETN	9954	12597
125853	SLC2A2	7328	12597
125853	SLC30A8	11896	12597
125853	TCF7L2	3423	12597
125853	WFS1	8581	12597
126200	HLA-DQB1	11736	12620
126200	HLA-DRB1	7443	12620
127550	TERT	125	12620
127550	TINF2	54	12620
127750	GBA	88	12619
127750	SNCA	1	12619
127750	SNCB	113	12619
129490	EDAR	11	12620
129490	EDARADD	1	12620
130000	COL1A1	6	12620
130000	COL5A1	27	12620
130060	COL1A1	10	12620
130060	COL1A2	38	12620
130650	CDKN1C	2612	12618
130650	IGF2	3666	12618
130650	KCNQ1	4493	12618
130650	NSD1	1639	12618
131760	KRT14	349	12620
131760	KRT5	71	12620
131800	ITGB4	21	12619
131800	KRT14	592	12619
131800	KRT5	21	12619
131900	KRT14	349	12620
131900	KRT5	71	12620
132600	CTNNB1	509	12620
132600	MUTYH	5787	12620
133100	EPOR	19	12619
133100	JAK2	10	12619
133100	SH2B3	609	12619
133200	GJA1	9	12620
133200	GJB3	19	12620
133239	DCC	676	12617
133239	DEC1	2587	12617
133239	LZTS1	9978	12617
133239	RNF6	1853	12617
133239	TGFBR2	3281	12617
133780	FZD4	9287	12620
133780	LRP5	9990	12620
136880	RDH5	2	12619
136880	RHO	4225	12619
136880	RLBP1	1	12619
137215	CDH1	620	12618
137215	IL1B	11	12618
137215	IL1RN	71	12618
137215	KRAS	1424	12618
137550	HRAS	11	12620
137550	NRAS	53	12620
137800	ERBB2	838	12619
137800	IDH1	4648	12619
137800	TP53	133	12619
140700	HBA1	5	12619
140700	HBA2	178	12619
140700	HBB	8	12619
141749	HBB	14	12619
141749	HBG1	1335	12619
141749	HBG2	34	12619
143465	DRD4	6282	12620
143465	DRD5	12426	12620
143890	ABCA1	193	12615
143890	APOA2	417	12615
143890	EPHX2	8772	12615
143890	GHR	684	12615
143890	ITIH4	5779	12615
143890	LDLR	4669	12615
143890	PPP1R17	10242	12615
144200	KRT1	47	12620
144200	KRT9	191	12620
144700	FLCN	7805	12616
144700	HNF1A	15	12616
144700	HNF1B	25	12616
144700	OGG1	7800	12616
144700	RNF139	7360	12616
144700	VHL	888	12616
145500	ADD1	6499	12611
145500	AGT	22	12611
145500	AGTR1	9417	12611
145500	ATP1B1	2519	12611
145500	CYP3A5	9898	12611
145500	ECE1	55	12611
145500	GNB3	9314	12611
145500	NOS2	349	12611
145500	NOS3	890	12611
145500	PTGIS	735	12611
145500	SELE	4116	12611
145900	EGR2	5514	12618
145900	MPZ	12386	12618
145900	PMP22	12272	12618
145900	PRX	10435	12618
146200	GCM2	9043	12620
146200	PTH	9552	12620
147050	HAVCR1	10661	12617
147050	IL4R	3799	12617
147050	MS4A2	5883	12617
147050	PHF11	8946	12617
147050	SELP	6401	12617
147920	KDM6A	73	12620
147920	KMT2D	34	12620
149730	FGF10	23	12619
149730	FGFR2	1	12619
149730	FGFR3	39	12619
152700	BANK1	4070	12616
