Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	1451	12620
101400	TWIST1	4611	12620
101600	FGFR1	34	12620
101600	FGFR2	22	12620
102200	AIP	1233	12620
102200	GNAS	1230	12620
103780	ADH1B	1803	12618
103780	GABRA2	8487	12618
103780	HTR2A	9678	12618
103780	RCBTB1	9422	12618
104300	A2M	141	12612
104300	ACE	5658	12612
104300	APBB2	247	12612
104300	APP	2	12612
104300	BLMH	145	12612
104300	HFE	9998	12612
104300	NOS3	15	12612
104300	PAXIP1	122	12612
104300	PLAU	1119	12612
104300	SORL1	77	12612
105200	APOA1	1605	12618
105200	B2M	394	12618
105200	FGA	1522	12618
105200	LYZ	2122	12618
105400	DCTN1	2775	12618
105400	NEFH	1	12618
105400	PRPH	2	12618
105400	SOD1	6	12618
106210	ELP4	1763	12619
106210	PAX6	685	12619
106210	WT1	3868	12619
109400	PTCH1	421	12620
109400	SUFU	95	12620
109800	FGFR3	662	12618
109800	HRAS	82	12618
109800	KRAS	101	12618
109800	RB1	1480	12618
112600	BMP2	5	12619
112600	BMPR1B	2	12619
112600	GDF5	3	12619
113650	EYA1	2	12620
113650	SIX1	1	12620
113800	KRT1	20	12620
113800	KRT10	17	12620
114480	AKT1	365	12598
114480	ATM	40	12598
114480	BARD1	3	12598
114480	BRCA1	2	12598
114480	BRCA2	4	12598
114480	BRIP1	19	12598
114480	CASP8	393	12598
114480	CDH1	2098	12598
114480	CHEK2	17	12598
114480	ESR1	65	12598
114480	HMMR	285	12598
114480	KRAS	67	12598
114480	NQO2	11156	12598
114480	PALB2	4	12598
114480	PHB	196	12598
114480	PIK3CA	181	12598
114480	PPM1D	542	12598
114480	RAD51	4	12598
114480	RAD54L	5009	12598
114480	RB1CC1	796	12598
114480	SLC22A18	10144	12598
114480	TP53	17	12598
114480	TSG101	2152	12598
114480	XRCC3	9	12598
114500	AKT1	22	12609
114500	APC	93	12609
114500	BUB1B	97	12609
114500	CTNNB1	120	12609
114500	DCC	1787	12609
114500	DLC1	942	12609
114500	EP300	383	12609
114500	FGFR3	1936	12609
114500	FLCN	6160	12609
114500	NRAS	304	12609
114500	PIK3CA	448	12609
114500	SRC	184	12609
114500	TP53	220	12609
114550	APC	33	12614
114550	AXIN1	33	12614
114550	CASP8	678	12614
114550	CTNNB1	27	12614
114550	IGF2R	4347	12614
114550	MET	604	12614
114550	PIK3CA	527	12614
114550	TP53	54	12614
120435	MSH2	26	12620
120435	PMS1	1100	12620
122700	CYP2A6	68	12618
122700	CYP2C9	25	12618
122700	F9	167	12618
122700	VKORC1	168	12618
123150	FGFR1	34	12620
123150	FGFR2	22	12620
123400	HLA-DQB1	4819	12620
123400	PRNP	2591	12620
125853	AKT2	232	12597
125853	CDKAL1	11116	12597
125853	ENPP1	1011	12597
125853	GCGR	7543	12597
125853	GCK	124	12597
125853	HMGA1	568	12597
125853	HNF1A	1	12597
125853	HNF1B	13	12597
125853	HNF4A	7	12597
125853	IGF2BP2	7106	12597
125853	IRS1	142	12597
125853	IRS2	278	12597
125853	LIPC	2164	12597
125853	MAPK8IP1	1661	12597
125853	NEUROD1	126	12597
125853	PAX4	636	12597
125853	PDX1	47	12597
125853	PPARG	547	12597
125853	PPP1R3A	1809	12597
125853	PTPN1	145	12597
125853	RETN	10298	12597
125853	SLC2A2	111	12597
125853	SLC30A8	11384	12597
125853	TCF7L2	2051	12597
125853	WFS1	6729	12597
126200	HLA-DQB1	14	12620
126200	HLA-DRB1	7	12620
127550	TERT	204	12620
127550	TINF2	451	12620
127750	GBA	26	12619
127750	SNCA	4	12619
127750	SNCB	179	12619
129490	EDAR	1	12620
129490	EDARADD	1	12620
130000	COL1A1	4	12620
130000	COL5A1	9	12620
130060	COL1A1	4	12620
130060	COL1A2	5	12620
130650	CDKN1C	3044	12618
130650	IGF2	1964	12618
130650	KCNQ1	3961	12618
130650	NSD1	4548	12618
131760	KRT14	14	12620
131760	KRT5	5	12620
131800	ITGB4	48	12619
131800	KRT14	27	12619
131800	KRT5	11	12619
131900	KRT14	14	12620
131900	KRT5	5	12620
132600	CTNNB1	2101	12620
132600	MUTYH	9114	12620
133100	EPOR	2	12619
133100	JAK2	4	12619
133100	SH2B3	59	12619
133200	GJA1	31	12620
133200	GJB3	51	12620
133239	DCC	1383	12617
133239	DEC1	7346	12617
