Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	2	12620
101400	TWIST1	6	12620
101600	FGFR1	4	12620
101600	FGFR2	1	12620
102200	AIP	1	12620
102200	GNAS	18	12620
103780	ADH1B	259	12618
103780	GABRA2	8311	12618
103780	HTR2A	2377	12618
103780	RCBTB1	11247	12618
104300	A2M	157	12612
104300	ACE	2787	12612
104300	APBB2	489	12612
104300	APP	3	12612
104300	BLMH	227	12612
104300	HFE	9117	12612
104300	NOS3	18	12612
104300	PAXIP1	169	12612
104300	PLAU	1254	12612
104300	SORL1	199	12612
105200	APOA1	1754	12618
105200	B2M	576	12618
105200	FGA	1807	12618
105200	LYZ	2408	12618
105400	DCTN1	265	12618
105400	NEFH	10	12618
105400	PRPH	11	12618
105400	SOD1	22	12618
106210	ELP4	2606	12619
106210	PAX6	1	12619
106210	WT1	5	12619
109400	PTCH1	23	12620
109400	SUFU	26	12620
109800	FGFR3	6	12618
109800	HRAS	6	12618
109800	KRAS	7	12618
109800	RB1	219	12618
112600	BMP2	9	12619
112600	BMPR1B	2	12619
112600	GDF5	1	12619
113650	EYA1	1	12620
113650	SIX1	1	12620
113800	KRT1	1	12620
113800	KRT10	1	12620
114480	AKT1	29	12598
114480	ATM	45	12598
114480	BARD1	7	12598
114480	BRCA1	1	12598
114480	BRCA2	1	12598
114480	BRIP1	23	12598
114480	CASP8	55	12598
114480	CDH1	57	12598
114480	CHEK2	2	12598
114480	ESR1	89	12598
114480	HMMR	442	12598
114480	KRAS	5	12598
114480	NQO2	11865	12598
114480	PALB2	5	12598
114480	PHB	275	12598
114480	PIK3CA	7	12598
114480	PPM1D	838	12598
114480	RAD51	10	12598
114480	RAD54L	2315	12598
114480	RB1CC1	1228	12598
114480	SLC22A18	352	12598
114480	TP53	3	12598
114480	TSG101	2792	12598
114480	XRCC3	18	12598
114500	AKT1	14	12609
114500	APC	18	12609
114500	BUB1B	183	12609
114500	CTNNB1	18	12609
114500	DCC	1772	12609
114500	DLC1	1481	12609
114500	EP300	180	12609
114500	FGFR3	18	12609
114500	FLCN	3	12609
114500	NRAS	46	12609
114500	PIK3CA	13	12609
114500	SRC	403	12609
114500	TP53	1	12609
114550	APC	3	12614
114550	AXIN1	87	12614
114550	CASP8	93	12614
114550	CTNNB1	9	12614
114550	IGF2R	4989	12614
114550	MET	431	12614
114550	PIK3CA	3	12614
114550	TP53	7	12614
120435	MSH2	5	12620
120435	PMS1	398	12620
122700	CYP2A6	133	12618
122700	CYP2C9	125	12618
122700	F9	259	12618
122700	VKORC1	243	12618
123150	FGFR1	4	12620
123150	FGFR2	1	12620
123400	HLA-DQB1	2708	12620
123400	PRNP	7	12620
125853	AKT2	199	12597
125853	CDKAL1	12030	12597
125853	ENPP1	265	12597
125853	GCGR	8355	12597
125853	GCK	5	12597
125853	HMGA1	869	12597
125853	HNF1A	1	12597
125853	HNF1B	11	12597
125853	HNF4A	3	12597
125853	IGF2BP2	8094	12597
125853	IRS1	238	12597
125853	IRS2	520	12597
125853	LIPC	3083	12597
125853	MAPK8IP1	2133	12597
125853	NEUROD1	9	12597
125853	PAX4	9	12597
125853	PDX1	1	12597
125853	PPARG	8	12597
125853	PPP1R3A	30	12597
125853	PTPN1	231	12597
125853	RETN	11396	12597
125853	SLC2A2	68	12597
125853	SLC30A8	12001	12597
125853	TCF7L2	2525	12597
125853	WFS1	6119	12597
126200	HLA-DQB1	25	12620
126200	HLA-DRB1	12	12620
127550	TERT	1	12620
127550	TINF2	1	12620
127750	GBA	47	12619
127750	SNCA	1	12619
127750	SNCB	447	12619
129490	EDAR	1	12620
129490	EDARADD	1	12620
130000	COL1A1	5	12620
130000	COL5A1	12	12620
130060	COL1A1	1	12620
130060	COL1A2	1	12620
130650	CDKN1C	3200	12618
130650	IGF2	134	12618
130650	KCNQ1	3778	12618
130650	NSD1	2660	12618
131760	KRT14	1	12620
131760	KRT5	1	12620
131800	ITGB4	47	12619
131800	KRT14	2	12619
131800	KRT5	1	12619
131900	KRT14	2	12620
131900	KRT5	1	12620
132600	CTNNB1	87	12620
132600	MUTYH	204	12620
133100	EPOR	15	12619
133100	JAK2	1	12619
133100	SH2B3	9	12619
133200	GJA1	36	12620
133200	GJB3	12	12620
133239	DCC	1182	12617
133239	DEC1	8387	12617
133239	LZTS1	11532	12617
133239	RNF6	3027	12617
133239	TGFBR2	579	12617
133780	FZD4	77	12620
133780	LRP5	1	12620
136880	RDH5	1	12619
136880	RHO	98	12619
136880	RLBP1	1	12619
137215	CDH1	141	12618
137215	IL1B	8	12618
137215	IL1RN	20	12618
137215	KRAS	95	12618
137550	HRAS	3	12620
137550	NRAS	3	12620
137800	ERBB2	557	12619
137800	IDH1	4733	12619
137800	TP53	28	12619
140700	HBA1	1	12619
140700	HBA2	1	12619
140700	HBB	1	12619
