Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	18	12620
101400	TWIST1	26	12620
101600	FGFR1	33	12620
101600	FGFR2	22	12620
102200	AIP	17	12620
102200	GNAS	20	12620
103780	ADH1B	7391	12618
103780	GABRA2	10778	12618
103780	HTR2A	8246	12618
103780	RCBTB1	7160	12618
104300	A2M	47	12612
104300	ACE	5228	12612
104300	APBB2	11651	12612
104300	APP	11	12612
104300	BLMH	355	12612
104300	HFE	12164	12612
104300	NOS3	48	12612
104300	PAXIP1	48	12612
104300	PLAU	500	12612
104300	SORL1	7661	12612
105200	APOA1	1796	12618
105200	B2M	2635	12618
105200	FGA	2396	12618
105200	LYZ	5994	12618
105400	DCTN1	847	12618
105400	NEFH	3868	12618
105400	PRPH	2903	12618
105400	SOD1	2993	12618
106210	ELP4	10050	12619
106210	PAX6	4	12619
106210	WT1	26	12619
109400	PTCH1	40	12620
109400	SUFU	385	12620
109800	FGFR3	83	12618
109800	HRAS	73	12618
109800	KRAS	73	12618
109800	RB1	403	12618
112600	BMP2	4	12619
112600	BMPR1B	4	12619
112600	GDF5	1	12619
113650	EYA1	1	12620
113650	SIX1	1	12620
113800	KRT1	4	12620
113800	KRT10	10	12620
114480	AKT1	82	12598
114480	ATM	61	12598
114480	BARD1	19	12598
114480	BRCA1	2	12598
114480	BRCA2	2	12598
114480	BRIP1	350	12598
114480	CASP8	91	12598
114480	CDH1	319	12598
114480	CHEK2	2	12598
114480	ESR1	41	12598
114480	HMMR	407	12598
114480	KRAS	69	12598
114480	NQO2	8868	12598
114480	PALB2	22	12598
114480	PHB	525	12598
114480	PIK3CA	70	12598
114480	PPM1D	281	12598
114480	RAD51	40	12598
114480	RAD54L	7356	12598
114480	RB1CC1	161	12598
114480	SLC22A18	1170	12598
114480	TP53	14	12598
114480	TSG101	464	12598
114480	XRCC3	82	12598
114500	AKT1	1	12609
114500	APC	40	12609
114500	BUB1B	181	12609
114500	CTNNB1	89	12609
114500	DCC	2819	12609
114500	DLC1	754	12609
114500	EP300	135	12609
114500	FGFR3	91	12609
114500	FLCN	21	12609
114500	NRAS	490	12609
114500	PIK3CA	92	12609
114500	SRC	507	12609
114500	TP53	17	12609
114550	APC	18	12614
114550	AXIN1	60	12614
114550	CASP8	378	12614
114550	CTNNB1	13	12614
114550	IGF2R	5436	12614
114550	MET	961	12614
114550	PIK3CA	37	12614
114550	TP53	14	12614
120435	MSH2	5	12620
120435	PMS1	546	12620
122700	CYP2A6	194	12618
122700	CYP2C9	102	12618
122700	F9	2452	12618
122700	VKORC1	1056	12618
123150	FGFR1	33	12620
123150	FGFR2	22	12620
123400	HLA-DQB1	8640	12620
123400	PRNP	12	12620
125853	AKT2	343	12597
125853	CDKAL1	11626	12597
125853	ENPP1	760	12597
125853	GCGR	8978	12597
125853	GCK	114	12597
125853	HMGA1	264	12597
125853	HNF1A	8	12597
125853	HNF1B	73	12597
125853	HNF4A	163	12597
125853	IGF2BP2	6948	12597
125853	IRS1	148	12597
125853	IRS2	497	12597
125853	LIPC	1801	12597
125853	MAPK8IP1	461	12597
125853	NEUROD1	84	12597
125853	PAX4	99	12597
125853	PDX1	9	12597
125853	PPARG	87	12597
125853	PPP1R3A	252	12597
125853	PTPN1	111	12597
125853	RETN	10578	12597
125853	SLC2A2	1485	12597
125853	SLC30A8	12022	12597
125853	TCF7L2	4088	12597
125853	WFS1	8067	12597
126200	HLA-DQB1	3621	12620
126200	HLA-DRB1	4507	12620
127550	TERT	2	12620
127550	TINF2	1	12620
127750	GBA	33	12619
127750	SNCA	1	12619
127750	SNCB	137	12619
129490	EDAR	1	12620
129490	EDARADD	1	12620
130000	COL1A1	8	12620
130000	COL5A1	33	12620
130060	COL1A1	9	12620
130060	COL1A2	23	12620
130650	CDKN1C	2766	12618
130650	IGF2	361	12618
130650	KCNQ1	3677	12618
130650	NSD1	1798	12618
131760	KRT14	10	12620
131760	KRT5	4	12620
131800	ITGB4	14	12619
131800	KRT14	18	12619
131800	KRT5	13	12619
131900	KRT14	11	12620
131900	KRT5	4	12620
132600	CTNNB1	266	12620
132600	MUTYH	302	12620
133100	EPOR	20	12619
133100	JAK2	8	12619
133100	SH2B3	66	12619
133200	GJA1	11	12620
133200	GJB3	21	12620
133239	DCC	972	12617
133239	DEC1	2761	12617
133239	LZTS1	9719	12617
133239	RNF6	2521	12617
133239	TGFBR2	927	12617
133780	FZD4	8554	12620
133780	LRP5	3	12620
136880	RDH5	2	12619
136880	RHO	136	12619
136880	RLBP1	1	12619
137215	CDH1	188	12618
137215	IL1B	13	12618
137215	IL1RN	75	12618
137215	KRAS	126	12618
137550	HRAS	11	12620
137550	NRAS	45	12620
137800	ERBB2	739	12619
137800	IDH1	4607	12619
137800	TP53	143	12619
140700	HBA1	5	12619
140700	HBA2	16	12619
140700	HBB	5	12619
141749	HBB	14	12619
141749	HBG1	1477	12619
141749	HBG2	35	12619
143465	DRD4	409	12620
143465	DRD5	6278	12620
143890	ABCA1	149	12615
143890	APOA2	535	12615
143890	EPHX2	8276	12615
143890	GHR	626	12615
143890	ITIH4	5490	12615
143890	LDLR	76	12615
143890	PPP1R17	10556	12615
144200	KRT1	2	12620
144200	KRT9	256	12620
144700	FLCN	139	12616
144700	HNF1A	13	12616
144700	HNF1B	21	12616
144700	OGG1	7647	12616
144700	RNF139	7432	12616
144700	VHL	1055	12616
145500	ADD1	5939	12611
145500	AGT	17	12611
145500	AGTR1	123	12611
145500	ATP1B1	2981	12611
145500	CYP3A5	10052	12611
145500	ECE1	57	12611
145500	GNB3	7840	12611
145500	NOS2	610	12611
145500	NOS3	585	12611
145500	PTGIS	1091	12611
145500	SELE	2259	12611
145900	EGR2	30	12618
145900	MPZ	7	12618
145900	PMP22	5	12618
145900	PRX	48	12618
146200	GCM2	9420	12620
146200	PTH	8755	12620
147050	HAVCR1	8154	12617
147050	IL4R	842	12617
147050	MS4A2	6355	12617
147050	PHF11	51	12617
147050	SELP	6697	12617
147920	KDM6A	12	12620
147920	KMT2D	91	12620
149730	FGF10	4	12619
149730	FGFR2	1	12619
149730	FGFR3	36	12619
152700	BANK1	3964	12616
152700	CTLA4	40	12616
152700	FCGR2A	161	12616
152700	FCGR2B	2411	12616
152700	PTPN22	1531	12616
152700	TREX1	143	12616
155240	NTRK1	59	12620
155240	RET	23	12620
155255	BRCA2	192	12620
155255	SUFU	2079	12620
156240	BCL10	51	12620
156240	WT1	2139	12620
157300	EDNRA	4396	12619
157300	ESR1	97	12619
157300	TNF	2054	12619
158000	KRT81	48	12619
158000	KRT83	205	12619
158000	KRT86	633	12619
158320	MLH1	26	12620
158320	MSH2	2	12620
158810	COL6A1	13	12619
158810	COL6A2	9	12619
158810	COL6A3	9572	12619
159900	DRD2	947	12620
159900	SGCE	1494	12620
160150	DNM2	409	12620
160150	MTMR14	5572	12620
162091	NF2	44	12620
162091	SMARCB1	476	12620
162900	FGFR3	82	12618
162900	HRAS	9	12618
162900	NRAS	30	12618
162900	PIK3CA	36	12618
163200	HRAS	10	12619
163200	KRAS	49	12619
163200	NRAS	14	12619
163950	BRAF	3	12619
163950	MAP2K1	3	12619
163950	PTPN11	35	12619
164230	BDNF	62	12619
164230	HTR2A	3994	12619
164230	SLC6A4	11022	12619
166210	COL1A1	9	12620
166210	COL1A2	4	12620
166220	COL1A1	9	12620
166220	COL1A2	3	12620
166710	CALCR	618	12616
166710	COL1A1	21	12616
166710	COL1A2	35	12616
166710	LRP5	116	12616
166710	PDLIM4	7681	12616
166710	VDR	1806	12616
167000	AKT1	73	12616
167000	CDH1	43	12616
167000	CTNNB1	5	12616
167000	OPCML	10007	12616
167000	PARK2	474	12616
167000	PIK3CA	49	12616
167800	CFTR	1809	12617
167800	CTRC	3951	12617
167800	PRSS1	92	12617
167800	PRSS2	11754	12617
167800	SPINK1	9	12617
168600	ATXN2	2854	12616
168600	GBA	516	12616
168600	MAPT	193	12616
168600	NR4A2	4376	12616
168600	SNCAIP	302	12616
168600	TBP	139	12616
170400	CACNA1S	4018	12620
170400	SCN4A	4	12620
171300	GDNF	173	12616
171300	KIF1B	31	12616
171300	MAX	2131	12616
171300	RET	17	12616
171300	SDHB	244	12616
171300	VHL	1036	12616
172700	MAPT	2	12620
172700	PSEN1	1	12620
172800	KIT	3462	12620
172800	SNAI2	137	12620
174050	PRKCSH	6601	12620
174050	SEC63	11333	12620
174900	BMPR1A	135	12620
174900	SMAD4	83	12620
176100	HFE	12196	12620
176100	UROD	4728	12620
176200	HFE	7223	12620
176200	PPOX	1518	12620
176270	HERC2	763	12617
176270	MAGEL2	11	12617
176270	MKRN3	586	12617
176270	NDN	1654	12617
176270	SNRPN	2731	12617
176807	AR	135	12610
176807	BRCA2	119	12610
176807	CD82	6846	12610
176807	CDH1	235	12610
176807	CHEK2	107	12610
176807	HIP1	4539	12610
176807	KLF6	1986	12610
176807	MAD1L1	834	12610
176807	MSR1	1988	12610
176807	MXI1	3187	12610
176807	PTEN	150	12610
176807	ZFHX3	2214	12610
177200	SCNN1B	1	12620
177200	SCNN1G	2	12620
178500	MUC5B	8020	12618
178500	SFTPA1	12577	12618
178500	SFTPC	75	12618
178500	TERT	728	12618
180300	CD244	4532	12614
180300	CIITA	608	12614
180300	HLA-DRB1	1472	12614
180300	IL10	7356	12614
180300	NFKBIL1	4209	12614
180300	PADI4	797	12614
180300	PTPN22	2292	12614
180300	SLC22A4	11737	12614
180700	DVL1	12	12620
180700	WNT5A	8008	12620
180800	MPZ	7	12620
180800	PMP22	2	12620
180849	CREBBP	284	12620
180849	EP300	2	12620
