Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	1	17558
101400	TWIST1	5	17558
102200	AIP	2	17558
102200	GNAS	17	17558
103780	ADH1B	91	17554
103780	ADH1C	153	17554
103780	GABRA2	9771	17554
103780	HTR2A	1564	17554
103780	RCBTB1	15827	17554
103780	TAS2R16	2832	17554
104300	A2M	164	17550
104300	ACE	4092	17550
104300	APBB2	343	17550
104300	APP	5	17550
104300	BLMH	315	17550
104300	MPO	13234	17550
104300	NOS3	19	17550
104300	PAXIP1	197	17550
104300	PLAU	3035	17550
104300	SORL1	276	17550
105200	APOA1	3170	17556
105200	B2M	865	17556
105200	FGA	3595	17556
105200	LYZ	2656	17556
105400	DCTN1	139	17556
105400	NEFH	11	17556
105400	PRPH	18	17556
105400	SOD1	22	17556
106210	ELP4	1408	17557
106210	PAX6	1	17557
106210	WT1	5	17557
109400	PTCH1	7	17557
109400	PTCH2	1	17557
109400	SUFU	8	17557
109800	FGFR3	6	17556
109800	HRAS	6	17556
109800	KRAS	7	17556
109800	RB1	420	17556
111400	A4GALT	10	17558
111400	B3GALNT1	6	17558
112600	BMP2	11	17557
112600	BMPR1B	2	17557
112600	GDF5	1	17557
113650	EYA1	1	17558
113650	SIX1	1	17558
113800	KRT1	1	17558
113800	KRT10	1	17558
114480	AKT1	48	17538
114480	BARD1	8	17538
114480	BRCA1	1	17538
114480	BRCA2	1	17538
114480	BRIP1	19	17538
114480	CASP8	83	17538
114480	CDH1	34	17538
114480	CHEK2	2	17538
114480	HMMR	789	17538
114480	KRAS	8	17538
114480	NQO2	15526	17538
114480	PALB2	5	17538
114480	PHB	389	17538
114480	PIK3CA	4	17538
114480	PPM1D	1033	17538
114480	RAD51	9	17538
114480	RAD54L	3026	17538
114480	RB1CC1	1438	17538
114480	SLC22A18	352	17538
114480	TP53	3	17538
114480	TSG101	3109	17538
114480	XRCC3	21	17538
114500	AKT1	20	17548
114500	BUB1B	1278	17548
114500	CTNNB1	31	17548
114500	DCC	2042	17548
114500	DLC1	1352	17548
114500	EP300	259	17548
114500	FGFR3	18	17548
114500	FLCN	2	17548
114500	NRAS	50	17548
114500	PIK3CA	18	17548
114500	SRC	278	17548
114500	TP53	1	17548
114550	AXIN1	278	17552
114550	CASP8	159	17552
114550	CTNNB1	11	17552
114550	IGF2R	5056	17552
114550	MET	573	17552
114550	PDGFRL	7410	17552
114550	PIK3CA	4	17552
114550	TP53	10	17552
120435	MSH2	6	17558
120435	PMS1	300	17558
122100	KRT12	33	17558
122100	KRT3	31	17558
122700	CYP2A6	246	17556
122700	CYP2C9	250	17556
122700	F9	469	17556
122700	VKORC1	371	17556
123400	HLA-DQB1	3157	17558
123400	PRNP	7	17558
125853	AKT2	332	17535
125853	CDKAL1	15559	17535
125853	ENPP1	365	17535
125853	GCGR	7631	17535
125853	GCK	3	17535
125853	HMGA1	930	17535
125853	HNF1A	1	17535
125853	HNF1B	8	17535
125853	HNF4A	3	17535
125853	IGF2BP2	10515	17535
125853	IRS1	205	17535
125853	IRS2	615	17535
125853	KCNJ11	2	17535
125853	MAPK8IP1	3341	17535
125853	MTNR1B	6876	17535
125853	NEUROD1	4	17535
125853	PAX4	3	17535
125853	PDX1	1	17535
125853	PPARG	3	17535
125853	PPP1R3A	11	17535
125853	PTPN1	198	17535
125853	RETN	14977	17535
125853	SLC2A2	72	17535
125853	SLC30A8	15348	17535
125853	WFS1	9678	17535
126200	HLA-DQB1	49	17558
126200	HLA-DRB1	16	17558
127550	TERT	1	17558
127550	TINF2	1	17558
127750	GBA	76	17557
127750	SNCA	1	17557
127750	SNCB	432	17557
129490	EDAR	1	17558
129490	EDARADD	1	17558
130000	COL1A1	7	17557
130000	COL5A1	10	17557
130000	COL5A2	30	17557
130060	COL1A1	1	17558
130060	COL1A2	1	17558
130650	CDKN1C	4174	17556
130650	IGF2	183	17556
130650	KCNQ1	5100	17556
130650	NSD1	3402	17556
131760	KRT14	1	17558
131760	KRT5	1	17558
131800	ITGB4	77	17557
131800	KRT14	1	17557
131800	KRT5	1	17557
131900	KRT14	2	17558
131900	KRT5	1	17558
132600	CTNNB1	99	17558
132600	MUTYH	348	17558
133100	EPOR	14	17557
133100	JAK2	1	17557
133100	SH2B3	8	17557
133200	GJA1	69	17557
133200	GJB3	11	17557
133200	GJB4	28	17557
133239	DCC	1725	17554
133239	DEC1	6877	17554
133239	DLEC1	2261	17554
133239	LZTS1	15026	17554
133239	RNF6	4092	17554
133239	TGFBR2	722	17554
133780	FZD4	78	17558
133780	LRP5	1	17558
136880	PRPH2	15	17556
136880	RDH5	5	17556
136880	RHO	53	17556
136880	RLBP1	5	17556
137215	CDH1	163	17556
137215	IL1B	59	17556
137215	IL1RN	81	17556
137215	KRAS	115	17556
137550	HRAS	3	17558
137550	NRAS	3	17558
137800	ERBB2	900	17557
137800	IDH1	5562	17557
137800	TP53	53	17557
138500	SLC36A2	1	17557
138500	SLC6A19	1	17557
138500	SLC6A20	1	17557
140700	HBA1	1	17557
140700	HBA2	1	17557
