Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	1	17558
101400	TWIST1	4	17558
102200	AIP	3	17558
102200	GNAS	16	17558
103780	ADH1B	138	17554
103780	ADH1C	119	17554
103780	GABRA2	7182	17554
103780	HTR2A	1347	17554
103780	RCBTB1	14435	17554
103780	TAS2R16	7520	17554
104300	A2M	119	17550
104300	ACE	1928	17550
104300	APBB2	1748	17550
104300	APP	2	17550
104300	BLMH	225	17550
104300	MPO	10485	17550
104300	NOS3	7	17550
104300	PAXIP1	135	17550
104300	PLAU	1014	17550
104300	SORL1	572	17550
105200	APOA1	1337	17556
105200	B2M	489	17556
105200	FGA	1266	17556
105200	LYZ	2002	17556
105400	DCTN1	241	17556
105400	NEFH	19	17556
105400	PRPH	20	17556
105400	SOD1	51	17556
106210	ELP4	3847	17557
106210	PAX6	1	17557
106210	WT1	5	17557
109400	PTCH1	8	17557
109400	PTCH2	2	17557
109400	SUFU	9	17557
109800	FGFR3	6	17556
109800	HRAS	6	17556
109800	KRAS	7	17556
109800	RB1	154	17556
111400	A4GALT	14	17558
111400	B3GALNT1	10	17558
112600	BMP2	7	17557
112600	BMPR1B	3	17557
112600	GDF5	1	17557
113650	EYA1	1	17558
113650	SIX1	1	17558
113800	KRT1	1	17558
113800	KRT10	1	17558
114480	AKT1	26	17538
114480	BARD1	8	17538
114480	BRCA1	1	17538
114480	BRCA2	1	17538
114480	BRIP1	22	17538
114480	CASP8	46	17538
114480	CDH1	42	17538
114480	CHEK2	1	17538
114480	HMMR	388	17538
114480	KRAS	5	17538
114480	NQO2	14451	17538
114480	PALB2	7	17538
114480	PHB	219	17538
114480	PIK3CA	8	17538
114480	PPM1D	1073	17538
114480	RAD51	10	17538
114480	RAD54L	2167	17538
114480	RB1CC1	1590	17538
114480	SLC22A18	257	17538
114480	TP53	3	17538
114480	TSG101	3341	17538
114480	XRCC3	15	17538
114500	AKT1	12	17548
114500	BUB1B	515	17548
