Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	5	17558
101400	TWIST1	36	17558
102200	AIP	11	17558
102200	GNAS	20	17558
103780	ADH1B	84	17554
103780	ADH1C	97	17554
103780	GABRA2	9904	17554
103780	HTR2A	1473	17554
103780	RCBTB1	14616	17554
103780	TAS2R16	3935	17554
104300	A2M	170	17550
104300	ACE	2829	17550
104300	APBB2	485	17550
104300	APP	3	17550
104300	BLMH	240	17550
104300	MPO	12723	17550
104300	NOS3	11	17550
104300	PAXIP1	182	17550
104300	PLAU	1248	17550
104300	SORL1	209	17550
105200	APOA1	1903	17556
105200	B2M	600	17556
105200	FGA	1931	17556
105200	LYZ	2492	17556
105400	DCTN1	834	17556
105400	NEFH	3	17556
105400	PRPH	5	17556
105400	SOD1	22	17556
106210	ELP4	2592	17557
106210	PAX6	1	17557
106210	WT1	3	17557
109400	PTCH1	6	17557
109400	PTCH2	2	17557
109400	SUFU	4	17557
109800	FGFR3	9	17556
109800	HRAS	5	17556
109800	KRAS	5	17556
109800	RB1	233	17556
111400	A4GALT	9	17558
111400	B3GALNT1	3	17558
112600	BMP2	8	17557
112600	BMPR1B	2	17557
112600	GDF5	1	17557
113650	EYA1	2	17558
113650	SIX1	1	17558
113800	KRT1	1	17558
113800	KRT10	1	17558
114480	AKT1	28	17538
114480	BARD1	7	17538
114480	BRCA1	1	17538
114480	BRCA2	1	17538
114480	BRIP1	24	17538
114480	CASP8	49	17538
114480	CDH1	46	17538
114480	CHEK2	1	17538
114480	HMMR	455	17538
114480	KRAS	5	17538
114480	NQO2	14342	17538
114480	PALB2	5	17538
114480	PHB	267	17538
114480	PIK3CA	8	17538
114480	PPM1D	722	17538
114480	RAD51	10	17538
114480	RAD54L	2823	17538
114480	RB1CC1	1086	17538
114480	SLC22A18	298	17538
114480	TP53	1	17538
114480	TSG101	2741	17538
114480	XRCC3	17	17538
114500	AKT1	3	17548
114500	BUB1B	777	17548
114500	CTNNB1	12	17548
114500	DCC	1865	17548
114500	DLC1	1375	17548
114500	EP300	166	17548
114500	FGFR3	21	17548
114500	FLCN	20	17548
114500	NRAS	38	17548
114500	PIK3CA	4	17548
114500	SRC	368	17548
114500	TP53	5	17548
114550	AXIN1	240	17552
114550	CASP8	89	17552
114550	CTNNB1	8	17552
114550	IGF2R	5324	17552
114550	MET	401	17552
114550	PDGFRL	7695	17552
114550	PIK3CA	6	17552
114550	TP53	6	17552
120435	MSH2	6	17558
120435	PMS1	484	17558
122100	KRT12	33	17558
122100	KRT3	34	17558
122700	CYP2A6	127	17556
122700	CYP2C9	115	17556
122700	F9	314	17556
122700	VKORC1	306	17556
123400	HLA-DQB1	3237	17558
123400	PRNP	16	17558
125853	AKT2	252	17535
125853	CDKAL1	15256	17535
125853	ENPP1	277	17535
125853	GCGR	7920	17535
125853	GCK	6	17535
125853	HMGA1	911	17535
125853	HNF1A	1	17535
125853	HNF1B	10	17535
125853	HNF4A	6	17535
125853	IGF2BP2	9079	17535
125853	IRS1	248	17535
125853	IRS2	525	17535
125853	KCNJ11	1	17535
125853	MAPK8IP1	2885	17535
125853	MTNR1B	6002	17535
125853	NEUROD1	33	17535
125853	PAX4	33	17535
125853	PDX1	1	17535
125853	PPARG	8	17535
125853	PPP1R3A	28	17535
125853	PTPN1	247	17535
125853	RETN	13974	17535
125853	SLC2A2	58	17535
125853	SLC30A8	15183	17535
125853	WFS1	8105	17535
126200	HLA-DQB1	26	17558
126200	HLA-DRB1	13	17558
127550	TERT	2	17558
127550	TINF2	17	17558
127750	GBA	35	17557
127750	SNCA	1	17557
127750	SNCB	440	17557
129490	EDAR	1	17558
129490	EDARADD	1	17558
130000	COL1A1	3	17557
130000	COL5A1	4	17557
130000	COL5A2	41	17557
130060	COL1A1	1	17558
130060	COL1A2	1	17558
130650	CDKN1C	3712	17556
130650	IGF2	415	17556
130650	KCNQ1	4092	17556
130650	NSD1	3183	17556
131760	KRT14	1	17558
131760	KRT5	1	17558
131800	ITGB4	69	17557
131800	KRT14	1	17557
131800	KRT5	1	17557
131900	KRT14	1	17558
131900	KRT5	1	17558
132600	CTNNB1	101	17558
132600	MUTYH	360	17558
133100	EPOR	9	17557
133100	JAK2	2	17557
133100	SH2B3	4	17557
133200	GJA1	45	17557
133200	GJB3	1	17557
133200	GJB4	17	17557
133239	DCC	1441	17554
133239	DEC1	7787	17554
133239	DLEC1	2153	17554
133239	LZTS1	13772	17554
133239	RNF6	3577	17554
133239	TGFBR2	871	17554
133780	FZD4	84	17558
133780	LRP5	1	17558
136880	PRPH2	46	17556
136880	RDH5	1	17556
136880	RHO	45	17556
136880	RLBP1	1	17556
137215	CDH1	133	17556
137215	IL1B	4	17556
137215	IL1RN	12	17556
137215	KRAS	84	17556
137550	HRAS	1	17558
137550	NRAS	1	17558
137800	ERBB2	618	17557
137800	IDH1	4740	17557
137800	TP53	40	17557
138500	SLC36A2	1	17557
138500	SLC6A19	1	17557
138500	SLC6A20	1	17557
140700	HBA1	1	17557
140700	HBA2	1	17557
140700	HBB	1	17557
141749	HBB	14	17557
141749	HBG1	2	17557
141749	HBG2	1	17557
143465	DRD4	70	17558
143465	DRD5	205	17558
143890	ABCA1	140	17553
143890	APOA2	155	17553
143890	EPHX2	6131	17553
143890	GHR	736	17553
143890	ITIH4	4396	17553
143890	LDLR	122	17553
143890	PPP1R17	14010	17553
144200	KRT1	2	17558
144200	KRT9	46	17558
144700	DIRC2	16163	17553
144700	FLCN	124	17553
144700	HNF1A	3	17553
144700	HNF1B	7	17553
144700	OGG1	12289	17553
144700	RNF139	7670	17553
144700	VHL	438	17553
145500	ADD1	12161	17548
145500	AGT	8	17548
145500	AGTR1	19	17548
145500	ATP1B1	3327	17548
145500	CYP3A5	3628	17548
145500	ECE1	82	17548
145500	GNB3	1905	17548
145500	NOS2	174	17548
145500	NOS3	248	17548
145500	PTGIS	334	17548
145500	RGS5	1397	17548
145500	SELE	1104	17548
145750	APOA5	36	17558
145750	LIPI	17370	17558
145900	EGR2	8	17556
145900	MPZ	1	17556
145900	PMP22	2	17556
145900	PRX	31	17556
146200	GCM2	11905	17558
146200	PTH	5367	17558
147050	HAVCR1	14114	17553
147050	IL4R	988	17553
147050	MS4A2	699	17553
147050	PHF11	33	17553
147050	PLA2G7	25	17553
147050	SELP	828	17553
147050	SPINK5	8	17553
147920	KDM6A	4	17558
147920	KMT2D	26	17558
149400	GLRA1	793	17558
149400	GPHN	135	17558
149730	FGF10	1	17557
149730	FGFR2	1	17557
149730	FGFR3	12	17557
152700	BANK1	4550	17554
152700	CTLA4	68	17554
152700	FCGR2A	39	17554
152700	FCGR2B	96	17554
152700	PTPN22	376	17554
152700	TREX1	122	17554
155240	NTRK1	108	17558
155240	RET	6	17558
155255	BRCA2	285	17557
155255	PTCH2	2	17557
155255	SUFU	3	17557
156240	BCL10	56	17558
156240	WT1	2110	17558
157300	EDNRA	2021	17558
157300	TNF	2263	17558
158000	KRT81	1	17557
158000	KRT83	51	17557
158000	KRT86	1	17557
158320	MLH1	1	17558
158320	MSH2	2	17558
158810	COL6A1	3	17558
158810	COL6A2	1	17558
159900	DRD2	1469	17558
159900	SGCE	4632	17558
160150	DNM2	310	17558
160150	MTMR14	2989	17558
162091	NF2	55	17558
162091	SMARCB1	285	17558
162900	FGFR3	6	17556
162900	HRAS	1	17556
162900	NRAS	1	17556
162900	PIK3CA	6	17556
163200	HRAS	1	17557
163200	KRAS	7	17557
163200	NRAS	1	17557
163950	BRAF	4	17557
163950	MAP2K1	7	17557
163950	PTPN11	8	17557
164230	BDNF	70	17557
164230	HTR2A	2376	17557
164230	SLC6A4	10051	17557
166210	COL1A1	1	17558
166210	COL1A2	1	17558
166220	COL1A1	1	17558
166220	COL1A2	1	17558
166710	CALCR	1804	17554
166710	COL1A1	1	17554
166710	COL1A2	1	17554
166710	LRP5	144	17554
166710	PDLIM4	10166	17554
166710	VDR	3549	17554
167000	AKT1	10	17554
167000	CDH1	19	17554
167000	CTNNB1	2	17554
167000	OPCML	14884	17554
167000	PARK2	264	17554
167000	PIK3CA	1	17554
167800	CFTR	1672	17555
167800	CTRC	4	17555
167800	PRSS1	1	17555
167800	PRSS2	349	17555
167800	SPINK1	9	17555
168600	ADH1C	3166	17553
168600	ATXN2	4087	17553
168600	GBA	645	17553
168600	GLUD2	4584	17553
168600	MAPT	179	17553
168600	NR4A2	2949	17553
168600	TBP	78	17553
170400	CACNA1S	1559	17558
170400	SCN4A	3	17558
171300	GDNF	30	17552
171300	KIF1B	22	17552
171300	MAX	4533	17552
171300	RET	2	17552
171300	SDHB	6	17552
171300	SDHD	7	17552
171300	TMEM127	16788	17552
171300	VHL	1114	17552
172700	MAPT	1	17558
172700	PSEN1	1	17558
172800	KIT	26	17558
172800	SNAI2	114	17558
174050	PRKCSH	470	17558
174050	SEC63	5015	17558
174900	BMPR1A	200	17558
174900	SMAD4	87	17558
176270	HERC2	442	17554
176270	MAGEL2	2	17554
176270	MKRN3	3423	17554
176270	NDN	1691	17554
176270	NPAP1	17403	17554
176270	SNRPN	4969	17554
176807	AR	80	17550
176807	BRCA2	37	17550
176807	CD82	8434	17550
176807	CDH1	49	17550
176807	CHEK2	40	17550
176807	KLF6	895	17550
176807	MSR1	822	17550
176807	MXI1	8142	17550
176807	PTEN	39	17550
176807	ZFHX3	8610	17550
177200	SCNN1B	1	17558
177200	SCNN1G	2	17558
178500	MUC5B	12142	17555
178500	SFTPA1	2	17555
178500	SFTPA2	3	17555
178500	SFTPC	9	17555
178500	TERT	367	17555
180300	CD244	523	17553
180300	CIITA	130	17553
180300	HLA-DRB1	30	17553
180300	IL10	1299	17553
180300	PADI4	1834	17553
180300	PTPN22	82	17553
180300	SLC22A4	12793	17553
180700	DVL1	3	17558
180700	WNT5A	370	17558
180800	MPZ	4	17558
180800	PMP22	3	17558
180849	CREBBP	152	17558
180849	EP300	1	17558
181500	AKT1	393	17547
181500	APOL2	17223	17547
181500	APOL4	8587	17547
181500	CHI3L1	17254	17547
181500	COMT	803	17547
181500	DAO	4388	17547
181500	DISC1	2121	17547
181500	DRD3	619	17547
181500	DTNBP1	1668	17547
181500	HTR2A	613	17547
181500	MTHFR	1637	17547
181500	RTN4R	16365	17547
181500	SYN2	3561	17547
182940	CCL2	3700	17555
182940	FUZ	11972	17555
182940	T	11239	17555
182940	VANGL1	37	17555
182940	VANGL2	139	17555
185000	RHAG	11	17558
185000	STOM	9423	17558
187500	CERS1	18	17554
187500	GATA4	1	17554
