Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	1	17558
101400	TWIST1	4	17558
102200	AIP	3	17558
102200	GNAS	8	17558
103780	ADH1B	145	17554
103780	ADH1C	145	17554
103780	GABRA2	7952	17554
103780	HTR2A	1347	17554
103780	RCBTB1	14655	17554
103780	TAS2R16	5345	17554
104300	A2M	159	17550
104300	ACE	2447	17550
104300	APBB2	702	17550
104300	APP	7	17550
104300	BLMH	258	17550
104300	MPO	12132	17550
104300	NOS3	19	17550
104300	PAXIP1	192	17550
104300	PLAU	1234	17550
104300	SORL1	262	17550
105200	APOA1	1744	17556
105200	B2M	679	17556
105200	FGA	1824	17556
105200	LYZ	2702	17556
105400	DCTN1	116	17556
105400	NEFH	13	17556
105400	PRPH	17	17556
105400	SOD1	37	17556
106210	ELP4	3391	17557
106210	PAX6	1	17557
106210	WT1	8	17557
109400	PTCH1	6	17557
109400	PTCH2	5	17557
109400	SUFU	13	17557
109800	FGFR3	5	17556
109800	HRAS	15	17556
109800	KRAS	15	17556
109800	RB1	196	17556
111400	A4GALT	12	17558
111400	B3GALNT1	10	17558
112600	BMP2	17	17557
112600	BMPR1B	4	17557
112600	GDF5	1	17557
113650	EYA1	1	17558
113650	SIX1	1	17558
113800	KRT1	6	17558
113800	KRT10	1	17558
114480	AKT1	38	17538
114480	BARD1	10	17538
114480	BRCA1	1	17538
114480	BRCA2	1	17538
114480	BRIP1	32	17538
114480	CASP8	61	17538
114480	CDH1	36	17538
114480	CHEK2	3	17538
114480	HMMR	473	17538
114480	KRAS	9	17538
114480	NQO2	14281	17538
114480	PALB2	9	17538
114480	PHB	275	17538
114480	PIK3CA	10	17538
114480	PPM1D	828	17538
114480	RAD51	13	17538
114480	RAD54L	2355	17538
114480	RB1CC1	1239	17538
114480	SLC22A18	321	17538
114480	TP53	3	17538
114480	TSG101	2916	17538
114480	XRCC3	24	17538
114500	AKT1	24	17548
114500	BUB1B	702	17548
