Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	7	17558
101400	TWIST1	25	17558
102200	AIP	10	17558
102200	GNAS	31	17558
103780	ADH1B	41	17554
103780	ADH1C	53	17554
103780	GABRA2	9225	17554
103780	HTR2A	1919	17554
103780	RCBTB1	13040	17554
103780	TAS2R16	2850	17554
104300	A2M	159	17550
104300	ACE	5896	17550
104300	APBB2	285	17550
104300	APP	3	17550
104300	BLMH	171	17550
104300	MPO	13185	17550
104300	NOS3	15	17550
104300	PAXIP1	144	17550
104300	PLAU	1198	17550
104300	SORL1	94	17550
105200	APOA1	1861	17556
105200	B2M	485	17556
105200	FGA	1848	17556
105200	LYZ	2390	17556
105400	DCTN1	559	17556
105400	NEFH	3	17556
105400	PRPH	2	17556
105400	SOD1	14	17556
106210	ELP4	2003	17557
106210	PAX6	3	17557
106210	WT1	117	17557
109400	PTCH1	29	17557
109400	PTCH2	25	17557
109400	SUFU	41	17557
109800	FGFR3	41	17556
109800	HRAS	43	17556
109800	KRAS	55	17556
109800	RB1	671	17556
111400	A4GALT	2	17558
111400	B3GALNT1	1	17558
112600	BMP2	5	17557
112600	BMPR1B	2	17557
112600	GDF5	1	17557
113650	EYA1	2	17558
113650	SIX1	1	17558
113800	KRT1	4	17558
113800	KRT10	6	17558
114480	AKT1	178	17538
114480	BARD1	5	17538
114480	BRCA1	1	17538
114480	BRCA2	1	17538
114480	BRIP1	17	17538
114480	CASP8	345	17538
114480	CDH1	713	17538
114480	CHEK2	1	17538
114480	HMMR	342	17538
114480	KRAS	37	17538
114480	NQO2	13102	17538
114480	PALB2	5	17538
114480	PHB	211	17538
114480	PIK3CA	87	17538
114480	PPM1D	513	17538
114480	RAD51	6	17538
114480	RAD54L	4779	17538
114480	RB1CC1	775	17538
114480	SLC22A18	4037	17538
114480	TP53	4	17538
114480	TSG101	2174	17538
114480	XRCC3	11	17538
114500	AKT1	15	17548
114500	BUB1B	697	17548
114500	CTNNB1	108	17548
114500	DCC	1812	17548
114500	DLC1	959	17548
114500	EP300	328	17548
114500	FGFR3	59	17548
114500	FLCN	8	17548
114500	NRAS	238	17548
114500	PIK3CA	102	17548
114500	SRC	220	17548
114500	TP53	3	17548
114550	AXIN1	201	17552
114550	CASP8	435	17552
114550	CTNNB1	17	17552
114550	IGF2R	4912	17552
114550	MET	434	17552
114550	PDGFRL	6785	17552
114550	PIK3CA	17	17552
114550	TP53	13	17552
120435	MSH2	7	17558
120435	PMS1	749	17558
122100	KRT12	29	17558
122100	KRT3	24	17558
122700	CYP2A6	90	17556
122700	CYP2C9	43	17556
122700	F9	251	17556
122700	VKORC1	281	17556
123400	HLA-DQB1	3435	17558
123400	PRNP	12	17558
125853	AKT2	369	17535
125853	CDKAL1	13982	17535
125853	ENPP1	984	17535
125853	GCGR	6568	17535
125853	GCK	18	17535
125853	HMGA1	651	17535
125853	HNF1A	1	17535
125853	HNF1B	12	17535
125853	HNF4A	5	17535
125853	IGF2BP2	8315	17535
125853	IRS1	173	17535
125853	IRS2	325	17535
125853	KCNJ11	2	17535
125853	MAPK8IP1	2412	17535
125853	MTNR1B	5366	17535
125853	NEUROD1	25	17535
125853	PAX4	27	17535
125853	PDX1	1	17535
125853	PPARG	220	17535
125853	PPP1R3A	591	17535
125853	PTPN1	173	17535
125853	RETN	12697	17535
125853	SLC2A2	105	17535
125853	SLC30A8	14201	17535
125853	WFS1	8982	17535
126200	HLA-DQB1	20	17558
126200	HLA-DRB1	14	17558
127550	TERT	2	17558
127550	TINF2	5	17558
127750	GBA	30	17557
127750	SNCA	1	17557
127750	SNCB	255	17557
129490	EDAR	1	17558
129490	EDARADD	1	17558
130000	COL1A1	3	17557
130000	COL5A1	2	17557
130000	COL5A2	29	17557
130060	COL1A1	2	17558
130060	COL1A2	6	17558
130650	CDKN1C	3443	17556
130650	IGF2	319	17556
130650	KCNQ1	4283	17556
130650	NSD1	3668	17556
131760	KRT14	8	17558
131760	KRT5	2	17558
131800	ITGB4	67	17557
131800	KRT14	5	17557
131800	KRT5	2	17557
131900	KRT14	7	17558
131900	KRT5	2	17558
132600	CTNNB1	286	17558
132600	MUTYH	585	17558
133100	EPOR	3	17557
133100	JAK2	2	17557
133100	SH2B3	58	17557
133200	GJA1	42	17557
133200	GJB3	1	17557
133200	GJB4	12	17557
133239	DCC	1627	17554
133239	DEC1	8964	17554
133239	DLEC1	6813	17554
133239	LZTS1	13167	17554
133239	RNF6	2563	17554
133239	TGFBR2	1058	17554
133780	FZD4	59	17558
133780	LRP5	1	17558
136880	PRPH2	50	17556
136880	RDH5	1	17556
136880	RHO	396	17556
136880	RLBP1	1	17556
137215	CDH1	258	17556
137215	IL1B	3	17556
137215	IL1RN	8	17556
137215	KRAS	417	17556
137550	HRAS	10	17558
137550	NRAS	27	17558
137800	ERBB2	900	17557
137800	IDH1	4082	17557
137800	TP53	73	17557
138500	SLC36A2	30	17557
138500	SLC6A19	13	17557
138500	SLC6A20	16	17557
140700	HBA1	1	17557
140700	HBA2	4	17557
140700	HBB	1	17557
141749	HBB	11	17557
141749	HBG1	1	17557
141749	HBG2	1	17557
143465	DRD4	54	17558
143465	DRD5	166	17558
143890	ABCA1	161	17553
143890	APOA2	107	17553
143890	EPHX2	6623	17553
143890	GHR	630	17553
143890	ITIH4	4231	17553
143890	LDLR	69	17553
143890	PPP1R17	12652	17553
144200	KRT1	1	17558
144200	KRT9	15	17558
144700	DIRC2	15410	17553
144700	FLCN	83	17553
144700	HNF1A	4	17553
144700	HNF1B	7	17553
144700	OGG1	10969	17553
144700	RNF139	7438	17553
144700	VHL	1052	17553
145500	ADD1	11597	17548
145500	AGT	27	17548
145500	AGTR1	98	17548
145500	ATP1B1	2735	17548
145500	CYP3A5	3239	17548
145500	ECE1	58	17548
145500	GNB3	1479	17548
145500	NOS2	133	17548
145500	NOS3	449	17548
145500	PTGIS	251	17548
145500	RGS5	1036	17548
145500	SELE	777	17548
145750	APOA5	37	17558
145750	LIPI	17317	17558
145900	EGR2	43	17556
145900	MPZ	5	17556
145900	PMP22	4	17556
145900	PRX	39	17556
146200	GCM2	11400	17558
146200	PTH	4286	17558
147050	HAVCR1	13072	17553
147050	IL4R	1124	17553
147050	MS4A2	602	17553
147050	PHF11	55	17553
147050	PLA2G7	56	17553
147050	SELP	672	17553
147050	SPINK5	6	17553
147920	KDM6A	5	17558
147920	KMT2D	17	17558
149400	GLRA1	463	17558
149400	GPHN	121	17558
149730	FGF10	1	17557
149730	FGFR2	1	17557
149730	FGFR3	37	17557
152700	BANK1	4081	17554
152700	CTLA4	79	17554
152700	FCGR2A	26	17554
152700	FCGR2B	64	17554
152700	PTPN22	400	17554
152700	TREX1	185	17554
155240	NTRK1	91	17558
155240	RET	6	17558
155255	BRCA2	265	17557
155255	PTCH2	179	17557
155255	SUFU	105	17557
156240	BCL10	28	17558
156240	WT1	3651	17558
157300	EDNRA	2046	17558
157300	TNF	2521	17558
158000	KRT81	1	17557
158000	KRT83	48	17557
158000	KRT86	1	17557
158320	MLH1	6	17558
158320	MSH2	7	17558
158810	COL6A1	4	17558
158810	COL6A2	10	17558
159900	DRD2	1142	17558
159900	SGCE	4174	17558
160150	DNM2	221	17558
160150	MTMR14	2197	17558
162091	NF2	44	17558
162091	SMARCB1	304	17558
162900	FGFR3	114	17556
162900	HRAS	7	17556
162900	NRAS	28	17556
162900	PIK3CA	22	17556
163200	HRAS	15	17557
163200	KRAS	28	17557
163200	NRAS	23	17557
163950	BRAF	3	17557
163950	MAP2K1	5	17557
163950	PTPN11	6	17557
164230	BDNF	54	17557
164230	HTR2A	3926	17557
164230	SLC6A4	8558	17557
166210	COL1A1	2	17558
166210	COL1A2	1	17558
166220	COL1A1	1	17558
166220	COL1A2	1	17558
166710	CALCR	1411	17554
166710	COL1A1	15	17554
166710	COL1A2	18	17554
166710	LRP5	123	17554
166710	PDLIM4	10904	17554
166710	VDR	3104	17554
167000	AKT1	80	17554
167000	CDH1	6	17554
167000	CTNNB1	15	17554
167000	OPCML	14309	17554
167000	PARK2	1436	17554
167000	PIK3CA	115	17554
167800	CFTR	2424	17555
167800	CTRC	3	17555
167800	PRSS1	1	17555
167800	PRSS2	175	17555
167800	SPINK1	7	17555
168600	ADH1C	3399	17553
168600	ATXN2	2922	17553
168600	GBA	1497	17553
168600	GLUD2	3429	17553
168600	MAPT	226	17553
168600	NR4A2	2464	17553
168600	TBP	87	17553
170400	CACNA1S	1444	17558
170400	SCN4A	3	17558
171300	GDNF	91	17552
171300	KIF1B	16	17552
171300	MAX	3875	17552
171300	RET	3	17552
171300	SDHB	13	17552
171300	SDHD	20	17552
171300	TMEM127	16549	17552
171300	VHL	1739	17552
172700	MAPT	15	17558
172700	PSEN1	14	17558
172800	KIT	41	17558
172800	SNAI2	76	17558
174050	PRKCSH	510	17558
174050	SEC63	4810	17558
174900	BMPR1A	157	17558
174900	SMAD4	84	17558
176270	HERC2	304	17554
176270	MAGEL2	2	17554
176270	MKRN3	3750	17554
176270	NDN	1286	17554
176270	NPAP1	17365	17554
176270	SNRPN	4209	17554
176807	AR	57	17550
176807	BRCA2	94	17550
176807	CD82	7948	17550
176807	CDH1	658	17550
176807	CHEK2	73	17550
176807	KLF6	4197	17550
176807	MSR1	1760	17550
176807	MXI1	7127	17550
176807	PTEN	245	17550
176807	ZFHX3	7560	17550
177200	SCNN1B	1	17558
177200	SCNN1G	2	17558
178500	MUC5B	11615	17555
178500	SFTPA1	2	17555
178500	SFTPA2	2	17555
178500	SFTPC	8	17555
178500	TERT	263	17555
180300	CD244	427	17553
180300	CIITA	106	17553
180300	HLA-DRB1	23	17553
180300	IL10	1242	17553
180300	PADI4	1670	17553
180300	PTPN22	67	17553
180300	SLC22A4	12351	17553
180700	DVL1	4	17558
180700	WNT5A	257	17558
180800	MPZ	4	17558
180800	PMP22	2	17558
180849	CREBBP	104	17558
180849	EP300	1	17558
181500	AKT1	467	17547
181500	APOL2	16756	17547
181500	APOL4	7529	17547
181500	CHI3L1	17144	17547
181500	COMT	543	17547
181500	DAO	3120	17547
181500	DISC1	1388	17547
181500	DRD3	343	17547
181500	DTNBP1	1704	17547
181500	HTR2A	417	17547
181500	MTHFR	1848	17547
181500	RTN4R	16064	17547
181500	SYN2	3347	17547
182940	CCL2	3714	17555
182940	FUZ	9420	17555
182940	T	10218	17555
182940	VANGL1	26	17555
182940	VANGL2	84	17555
185000	RHAG	10	17558
185000	STOM	8738	17558
187500	CERS1	251	17554
187500	GATA4	1	17554
187500	GATA6	22	17554
187500	JAG1	3761	17554
187500	NKX2-5	7	17554
187500	ZFPM2	1	17554
187800	ITGA2B	2	17558
187800	ITGB3	1	17558
187950	CALR	116	17557
187950	SH2B3	114	17557
187950	THPO	1561	17557
188050	F13A1	51	17556
