Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	2	17558
101400	TWIST1	6	17558
102200	AIP	2	17558
102200	GNAS	22	17558
103780	ADH1B	54	17554
103780	ADH1C	62	17554
103780	GABRA2	8421	17554
103780	HTR2A	1681	17554
103780	RCBTB1	14310	17554
103780	TAS2R16	4063	17554
104300	A2M	224	17550
104300	ACE	4176	17550
104300	APBB2	569	17550
104300	APP	3	17550
104300	BLMH	198	17550
104300	MPO	13727	17550
104300	NOS3	8	17550
104300	PAXIP1	180	17550
104300	PLAU	1715	17550
104300	SORL1	210	17550
105200	APOA1	2320	17556
105200	B2M	568	17556
105200	FGA	2231	17556
105200	LYZ	2166	17556
105400	DCTN1	899	17556
105400	NEFH	12	17556
105400	PRPH	13	17556
105400	SOD1	23	17556
106210	ELP4	2450	17557
106210	PAX6	1	17557
106210	WT1	7	17557
109400	PTCH1	10	17557
109400	PTCH2	4	17557
109400	SUFU	8	17557
109800	FGFR3	7	17556
109800	HRAS	7	17556
109800	KRAS	8	17556
109800	RB1	493	17556
111400	A4GALT	10	17558
111400	B3GALNT1	6	17558
112600	BMP2	8	17557
112600	BMPR1B	2	17557
112600	GDF5	1	17557
113650	EYA1	1	17558
113650	SIX1	1	17558
113800	KRT1	1	17558
113800	KRT10	1	17558
114480	AKT1	68	17538
114480	BARD1	3	17538
114480	BRCA1	1	17538
114480	BRCA2	1	17538
114480	BRIP1	17	17538
114480	CASP8	100	17538
114480	CDH1	95	17538
114480	CHEK2	1	17538
114480	HMMR	545	17538
114480	KRAS	11	17538
114480	NQO2	15087	17538
114480	PALB2	5	17538
114480	PHB	159	17538
114480	PIK3CA	18	17538
114480	PPM1D	817	17538
114480	RAD51	6	17538
114480	RAD54L	3329	17538
114480	RB1CC1	1600	17538
114480	SLC22A18	485	17538
114480	TP53	3	17538
114480	TSG101	3219	17538
114480	XRCC3	11	17538
114500	AKT1	13	17548
114500	BUB1B	723	17548
114500	CTNNB1	29	17548
114500	DCC	2027	17548
114500	DLC1	1300	17548
114500	EP300	252	17548
114500	FGFR3	21	17548
114500	FLCN	3	17548
114500	NRAS	61	17548
114500	PIK3CA	17	17548
114500	SRC	394	17548
114500	TP53	2	17548
114550	AXIN1	228	17552
114550	CASP8	118	17552
114550	CTNNB1	7	17552
114550	IGF2R	5800	17552
114550	MET	547	17552
114550	PDGFRL	7404	17552
114550	PIK3CA	5	17552
114550	TP53	8	17552
120435	MSH2	6	17558
120435	PMS1	546	17558
122100	KRT12	33	17558
122100	KRT3	32	17558
122700	CYP2A6	116	17556
122700	CYP2C9	103	17556
122700	F9	337	17556
122700	VKORC1	365	17556
123400	HLA-DQB1	3580	17558
123400	PRNP	8	17558
125853	AKT2	300	17535
125853	CDKAL1	15006	17535
125853	ENPP1	307	17535
125853	GCGR	7356	17535
125853	GCK	8	17535
125853	HMGA1	775	17535
125853	HNF1A	1	17535
125853	HNF1B	8	17535
125853	HNF4A	6	17535
125853	IGF2BP2	8554	17535
125853	IRS1	188	17535
125853	IRS2	464	17535
125853	KCNJ11	1	17535
125853	MAPK8IP1	2800	17535
125853	MTNR1B	5815	17535
125853	NEUROD1	40	17535
125853	PAX4	53	17535
125853	PDX1	1	17535
125853	PPARG	13	17535
125853	PPP1R3A	40	17535
125853	PTPN1	178	17535
125853	RETN	13152	17535
125853	SLC2A2	97	17535
125853	SLC30A8	15736	17535
125853	WFS1	8591	17535
126200	HLA-DQB1	27	17558
126200	HLA-DRB1	13	17558
127550	TERT	1	17558
127550	TINF2	2	17558
127750	GBA	51	17557
127750	SNCA	1	17557
127750	SNCB	565	17557
129490	EDAR	1	17558
129490	EDARADD	1	17558
130000	COL1A1	6	17557
130000	COL5A1	7	17557
130000	COL5A2	28	17557
130060	COL1A1	1	17558
130060	COL1A2	1	17558
130650	CDKN1C	3166	17556
130650	IGF2	256	17556
130650	KCNQ1	4273	17556
130650	NSD1	3861	17556
131760	KRT14	1	17558
131760	KRT5	1	17558
131800	ITGB4	66	17557
131800	KRT14	2	17557
131800	KRT5	1	17557
131900	KRT14	2	17558
131900	KRT5	1	17558
132600	CTNNB1	121	17558
132600	MUTYH	422	17558
133100	EPOR	15	17557
133100	JAK2	1	17557
133100	SH2B3	9	17557
133200	GJA1	46	17557
133200	GJB3	8	17557
133200	GJB4	15	17557
133239	DCC	1637	17554
133239	DEC1	9149	17554
133239	DLEC1	2412	17554
133239	LZTS1	13131	17554
133239	RNF6	2884	17554
133239	TGFBR2	931	17554
133780	FZD4	81	17558
133780	LRP5	1	17558
136880	PRPH2	48	17556
136880	RDH5	1	17556
136880	RHO	90	17556
136880	RLBP1	1	17556
137215	CDH1	125	17556
137215	IL1B	7	17556
137215	IL1RN	13	17556
137215	KRAS	87	17556
137550	HRAS	4	17558
137550	NRAS	3	17558
137800	ERBB2	805	17557
137800	IDH1	4018	17557
137800	TP53	77	17557
138500	SLC36A2	1	17557
138500	SLC6A19	1	17557
138500	SLC6A20	2	17557
140700	HBA1	1	17557
140700	HBA2	1	17557
140700	HBB	1	17557
141749	HBB	16	17557
141749	HBG1	2	17557
141749	HBG2	2	17557
143465	DRD4	62	17558
143465	DRD5	259	17558
143890	ABCA1	204	17553
143890	APOA2	147	17553
143890	EPHX2	5741	17553
143890	GHR	694	17553
143890	ITIH4	3562	17553
143890	LDLR	94	17553
143890	PPP1R17	13016	17553
144200	KRT1	1	17558
144200	KRT9	51	17558
144700	DIRC2	14918	17553
144700	FLCN	38	17553
144700	HNF1A	5	17553
144700	HNF1B	8	17553
144700	OGG1	11891	17553
144700	RNF139	6836	17553
144700	VHL	505	17553
145500	ADD1	11756	17548
145500	AGT	8	17548
145500	AGTR1	23	17548
145500	ATP1B1	3307	17548
145500	CYP3A5	3943	17548
145500	ECE1	99	17548
145500	GNB3	1782	17548
145500	NOS2	108	17548
145500	NOS3	334	17548
145500	PTGIS	280	17548
145500	RGS5	1029	17548
145500	SELE	908	17548
145750	APOA5	34	17558
145750	LIPI	17391	17558
145900	EGR2	12	17556
145900	MPZ	1	17556
145900	PMP22	1	17556
145900	PRX	39	17556
146200	GCM2	11522	17558
146200	PTH	4297	17558
147050	HAVCR1	13154	17553
147050	IL4R	942	17553
147050	MS4A2	541	17553
147050	PHF11	30	17553
147050	PLA2G7	25	17553
147050	SELP	599	17553
147050	SPINK5	4	17553
147920	KDM6A	1	17558
147920	KMT2D	26	17558
149400	GLRA1	1120	17558
149400	GPHN	187	17558
149730	FGF10	1	17557
149730	FGFR2	1	17557
149730	FGFR3	21	17557
152700	BANK1	3772	17554
152700	CTLA4	72	17554
152700	FCGR2A	22	17554
152700	FCGR2B	78	17554
152700	PTPN22	411	17554
152700	TREX1	148	17554
155240	NTRK1	126	17558
155240	RET	1	17558
155255	BRCA2	253	17557
155255	PTCH2	19	17557
155255	SUFU	17	17557
156240	BCL10	29	17558
156240	WT1	2698	17558
157300	EDNRA	1765	17558
157300	TNF	2220	17558
158000	KRT81	1	17557
158000	KRT83	52	17557
158000	KRT86	1	17557
158320	MLH1	3	17558
158320	MSH2	2	17558
158810	COL6A1	3	17558
158810	COL6A2	1	17558
159900	DRD2	1351	17558
159900	SGCE	4565	17558
160150	DNM2	236	17558
160150	MTMR14	2176	17558
162091	NF2	14	17558
162091	SMARCB1	321	17558
162900	FGFR3	10	17556
162900	HRAS	1	17556
162900	NRAS	4	17556
162900	PIK3CA	7	17556
163200	HRAS	5	17557
163200	KRAS	11	17557
163200	NRAS	5	17557
163950	BRAF	6	17557
163950	MAP2K1	9	17557
163950	PTPN11	3	17557
164230	BDNF	53	17557
164230	HTR2A	2777	17557
164230	SLC6A4	10071	17557
166210	COL1A1	1	17558
166210	COL1A2	1	17558
166220	COL1A1	1	17558
166220	COL1A2	1	17558
166710	CALCR	2105	17554
166710	COL1A1	5	17554
166710	COL1A2	5	17554
166710	LRP5	109	17554
166710	PDLIM4	10486	17554
166710	VDR	3948	17554
167000	AKT1	17	17554
167000	CDH1	5	17554
167000	CTNNB1	5	17554
167000	OPCML	14460	17554
167000	PARK2	291	17554
167000	PIK3CA	8	17554
167800	CFTR	1958	17555
167800	CTRC	6	17555
167800	PRSS1	1	17555
167800	PRSS2	486	17555
167800	SPINK1	2	17555
168600	ADH1C	3276	17553
168600	ATXN2	3821	17553
168600	GBA	1013	17553
168600	GLUD2	4423	17553
168600	MAPT	254	17553
168600	NR4A2	2145	17553
168600	TBP	93	17553
170400	CACNA1S	1900	17558
170400	SCN4A	1	17558
171300	GDNF	26	17552
171300	KIF1B	9	17552
171300	MAX	5133	17552
171300	RET	1	17552
171300	SDHB	8	17552
171300	SDHD	9	17552
171300	TMEM127	16762	17552
171300	VHL	1691	17552
172700	MAPT	1	17558
172700	PSEN1	2	17558
172800	KIT	27	17558
172800	SNAI2	66	17558
174050	PRKCSH	826	17558
174050	SEC63	6229	17558
174900	BMPR1A	143	17558
174900	SMAD4	82	17558
176270	HERC2	304	17554
176270	MAGEL2	1	17554
176270	MKRN3	4613	17554
176270	NDN	1297	17554
176270	NPAP1	17376	17554
176270	SNRPN	4827	17554
176807	AR	70	17550
176807	BRCA2	50	17550
176807	CD82	8451	17550
176807	CDH1	87	17550
176807	CHEK2	37	17550
176807	KLF6	1516	17550
176807	MSR1	1267	17550
176807	MXI1	7440	17550
176807	PTEN	56	17550
176807	ZFHX3	8321	17550
177200	SCNN1B	1	17558
177200	SCNN1G	2	17558
178500	MUC5B	11453	17555
178500	SFTPA1	2	17555
178500	SFTPA2	3	17555
178500	SFTPC	8	17555
178500	TERT	357	17555
180300	CD244	461	17553
180300	CIITA	105	17553
180300	HLA-DRB1	21	17553
180300	IL10	1332	17553
180300	PADI4	1460	17553
180300	PTPN22	66	17553
180300	SLC22A4	12162	17553
180700	DVL1	3	17558
180700	WNT5A	301	17558
180800	MPZ	3	17558
180800	PMP22	2	17558
180849	CREBBP	211	17558
180849	EP300	1	17558
181500	AKT1	424	17547
181500	APOL2	17080	17547
181500	APOL4	7268	17547
181500	CHI3L1	17244	17547
181500	COMT	1046	17547
181500	DAO	4057	17547
181500	DISC1	2675	17547
181500	DRD3	670	17547
181500	DTNBP1	2722	17547
181500	HTR2A	680	17547
181500	MTHFR	2232	17547
181500	RTN4R	16322	17547
181500	SYN2	3362	17547
182940	CCL2	3433	17555
182940	FUZ	12120	17555
182940	T	10966	17555
182940	VANGL1	29	17555
182940	VANGL2	167	17555
185000	RHAG	2	17558
185000	STOM	8365	17558
187500	CERS1	26	17554
187500	GATA4	2	17554
187500	GATA6	7	17554
187500	JAG1	2473	17554
187500	NKX2-5	2	17554
187500	ZFPM2	3	17554
187800	ITGA2B	1	17558
187800	ITGB3	1	17558
187950	CALR	13	17557
187950	SH2B3	7	17557
187950	THPO	2204	17557
188050	F13A1	60	17556
188050	F2	19	17556
188050	HABP2	16663	17556
188050	MTHFR	382	17556
188470	HRAS	4	17555
188470	MINPP1	4816	17555
188470	NRAS	3	17555
188470	PTEN	68	17555
188470	SRGAP1	6482	17555
188550	CCDC6	1648	17552
188550	GOLGA5	9941	17552
188550	NCOA4	1242	17552
188550	NKX2-1	290	17552
188550	PCM1	1118	17552
188550	PRKAR1A	274	17552
188550	TRIM24	41	17552
188550	TRIM33	108	17552
189800	EPHX1	8534	17558
189800	NOS3	187	17558
189960	BRCA2	10	17540
189960	BRIP1	30	17540
189960	CHD7	327	17540
189960	ERCC4	1	17540
189960	FANCA	2	17540
189960	FANCC	13	17540
189960	FANCD2	1	17540
189960	FANCE	6	17540
189960	FANCF	16	17540
189960	FANCG	2	17540
189960	FANCI	3	17540
189960	FANCL	1	17540
189960	FANCM	5	17540
189960	GLI3	1890	17540
189960	MID1	4457	17540
189960	MYCN	3	17540
189960	PALB2	15	17540
189960	RAD51C	27	17540
189960	SLX4	8	17540
189960	SOX2	2806	17540
191830	ITGA8	3118	17557
191830	PAX2	6515	17557
191830	RET	1190	17557
192430	DGCR14	12604	17556
192430	DGCR2	11797	17556
192430	DGCR6	3092	17556
192430	DGCR8	2575	17556
192600	CAV3	527	17556
192600	MYH6	192	17556
192600	MYH7	221	17556
192600	MYLK2	1794	17556
193300	CCND1	560	17558
193300	VHL	328	17558
193530	EVC	1	17558
193530	EVC2	1	17558
194050	ELN	2833	17558
194050	MLXIPL	8737	17558
194070	BRCA2	295	17555
194070	GPC3	3	17555
194070	GPC4	7	17555
194070	IGF2	19	17555
194070	WT1	145	17555
194072	PAX6	7	17558
194072	WT1	9	17558
194190	CPLX1	8238	17555
194190	CTBP1	1097	17555
194190	FGFRL1	15421	17555
194190	LETM1	2926	17555
194190	WHSC1	201	17555
201300	FAM134B	2	17557
201300	KIF1A	642	17557
201300	WNK1	6432	17557
202400	FGA	1	17557
202400	FGB	1	17557
202400	FGG	1	17557
203200	MC1R	10	17558
203200	OCA2	125	17558
203780	COL4A3	1	17558
203780	COL4A4	1	17558
205950	GLRX5	2007	17558
205950	SLC25A38	7179	17558
206900	SIX6	2049	17558
206900	SOX2	633	17558
207410	FGFR2	8	17558
207410	POR	8	17558
208150	DOK7	685	17557
208150	MUSK	16	17557
208150	RAPSN	16	17557
208550	PTGER2	14581	17558
208550	TBX21	2214	17558
209880	ASCL1	11276	17554
209880	BDNF	1872	17554
209880	EDN3	240	17554
209880	GDNF	32	17554
209880	PHOX2B	3	17554
209880	RET	9	17554
209900	BBS1	21	17554
209900	BBS4	17	17554
209900	CCDC28B	5950	17554
209900	MKKS	25	17554
209900	SDCCAG8	93	17554
209900	TMEM67	56	17554
209920	CIITA	1	17557
209920	RFX5	2	17557
209920	RFXAP	2	17557
210250	ABCG5	1	17558
210250	ABCG8	1	17558
211400	CFTR	1138	17558
211400	SCNN1B	151	17558
211980	BRAF	517	17544
211980	CASP8	66	17544
211980	CYP2A6	11739	17544
211980	DLEC1	2635	17544
211980	EGFR	189	17544
211980	ERBB2	38	17544
211980	ERCC6	4542	17544
211980	FASLG	28	17544
211980	IRF1	132	17544
211980	KRAS	16	17544
211980	MAP3K8	3103	17544
211980	PARK2	430	17544
211980	PIK3CA	9	17544
211980	PPP2R1B	2233	17544
211980	RASSF1	1337	17544
211980	SLC22A18	422	17544
212750	HLA-DQA1	1	17558
212750	HLA-DQB1	1	17558
213300	C5orf42	5	17551
213300	CEP41	24	17551
213300	INPP5E	2818	17551
213300	RPGRIP1L	8	17551
213300	TCTN2	34	17551
213300	TCTN3	44	17551
213300	TMEM231	6	17551
213300	TMEM237	302	17551
213300	TTC21B	2136	17551
213600	PDGFB	1	17557
213600	PDGFRB	13	17557
213600	SLC20A2	10390	17557
214800	CHD7	382	17558
214800	SEMA3E	16257	17558
215150	COL11A2	1	17558
215150	COL2A1	1	17558
216360	CC2D2A	25	17557
216360	RPGRIP1L	16	17557
216360	TMEM67	1	17557
217095	CERS1	12	17555
217095	CFC1	112	17555
217095	GATA6	8	17555
217095	NKX2-5	2	17555
217095	NKX2-6	17259	17555
219000	FRAS1	17149	17558
219000	GRIP1	3546	17558
219050	INSL3	5	17558
219050	RXFP2	4	17558
219700	CFTR	1552	17558
219700	TGFB1	2022	17558
220100	SLC3A1	17	17558
220100	SLC7A9	24	17558
220110	COA5	3905	17551
220110	COX10	311	17551
220110	COX14	255	17551
220110	COX20	264	17551
220110	COX6B1	206	17551
220110	FASTKD2	5351	17551
220110	PET100	7307	17551
220110	SCO1	255	17551
220110	TACO1	111	17551
220290	GJB2	4	17557
220290	GJB3	10	17557
220290	GJB6	2	17557
221770	TREM2	22	17558
221770	TYROBP	8	17558
222100	FOXP3	2110	17555
222100	HNF1A	1579	17555
222100	ITPR3	9238	17555
222100	OAS1	6087	17555
222100	PTPN22	1231	17555
224230	NHP2	1	17558
224230	NOP10	4	17558
224900	EDAR	1	17558
224900	EDARADD	1	17558
225500	EVC	1	17558
225500	EVC2	1	17558
226400	TMC6	492	17558
226400	TMC8	328	17558
226600	COL7A1	9	17558
226600	MMP1	477	17558
226650	COL17A1	5	17555
226650	ITGB4	2	17555
226650	LAMA3	2	17555
226650	LAMB3	5	17555
226650	LAMC2	3	17555
226700	LAMA3	2	17557
226700	LAMB3	4	17557
226700	LAMC2	3	17557
226730	ITGA6	45	17557
226730	ITGB4	2	17557
226730	PLEC	1	17557
227220	HERC2	2935	17558
227220	OCA2	2964	17558
231200	GP1BA	2	17557
231200	GP1BB	3	17557
231200	GP9	25	17557
231680	ETFA	1	17557
231680	ETFB	1	17557
231680	ETFDH	1	17557
233650	RAG1	1	17558
233650	RAG2	1	17558
235400	CFH	4	17557
235400	CFHR1	9	17557
235400	CFHR3	6	17557
236670	FKTN	21	17557
236670	LARGE1	6	17557
236670	POMT2	5	17557
237450	SLCO1B1	11	17558
237450	SLCO1B3	10	17558
240500	CD19	13	17555
240500	CR2	11	17555
240500	ICOS	4	17555
240500	TNFRSF13B	114	17555
240500	TNFRSF13C	219	17555
242600	SLC36A2	1	17557
242600	SLC6A19	1	17557
242600	SLC6A20	2	17557
245600	B3GAT3	111	17558
245600	CHST3	7	17558
248200	ABCA4	3	17558
248200	CNGB3	1442	17558
248600	BCKDHA	1	17557
248600	BCKDHB	1	17557
248600	DBT	109	17557
252010	FOXRED1	33	17541
252010	NDUFA1	49	17541
252010	NDUFA11	98	17541
252010	NDUFAF1	103	17541
252010	NDUFAF2	15	17541
252010	NDUFAF3	12	17541
252010	NDUFAF4	14	17541
252010	NDUFAF5	138	17541
252010	NDUFB3	25	17541
252010	NDUFB9	23	17541
252010	NDUFS1	16	17541
252010	NDUFS2	26	17541
252010	NDUFS3	12	17541
252010	NDUFS4	15	17541
252010	NDUFS6	33	17541
252010	NDUFV1	127	17541
252010	NDUFV2	149	17541
252010	NUBPL	12251	17541
252010	TMEM126B	123	17541
252011	SDHA	16	17557
252011	SDHAF1	14864	17557
252011	SDHD	15	17557
253290	CHRNA1	1	17557
253290	CHRND	1	17557
253290	CHRNG	1	17557
253400	SMN1	1	17558
253400	SMN2	54	17558
254090	COL6A1	2	17558
254090	COL6A2	1	17558
254450	CALR	9	17556
254450	JAK2	5	17556
254450	MPL	62	17556
254450	SH2B3	4	17556
254780	EPM2A	3	17558
254780	NHLRC1	2	17558
255310	ACTA1	1	17555
255310	MYH7	57	17555
255310	RYR1	173	17555
255310	TPM2	15	17555
255310	TPM3	58	17555
256000	BCS1L	195	17546
256000	COX10	24	17546
256000	COX15	28	17546
256000	FOXRED1	34	17546
256000	NDUFA12	59	17546
