Disease_ID	HGNC_Symbol	Global_Ranking	Total_Rankings
101400	FGFR2	1	17558
101400	TWIST1	6	17558
102200	AIP	2	17558
102200	GNAS	18	17558
103780	ADH1B	102	17554
103780	ADH1C	126	17554
103780	GABRA2	9184	17554
103780	HTR2A	2258	17554
103780	RCBTB1	14628	17554
103780	TAS2R16	5776	17554
104300	A2M	130	17550
104300	ACE	2249	17550
104300	APBB2	1032	17550
104300	APP	5	17550
104300	BLMH	299	17550
104300	MPO	12897	17550
104300	NOS3	21	17550
104300	PAXIP1	150	17550
104300	PLAU	1500	17550
104300	SORL1	441	17550
105200	APOA1	2059	17556
105200	B2M	629	17556
105200	FGA	2254	17556
105200	LYZ	2277	17556
105400	DCTN1	237	17556
105400	NEFH	16	17556
105400	PRPH	16	17556
105400	SOD1	39	17556
106210	ELP4	3604	17557
106210	PAX6	1	17557
106210	WT1	6	17557
109400	PTCH1	8	17557
109400	PTCH2	2	17557
109400	SUFU	9	17557
109800	FGFR3	6	17556
109800	HRAS	6	17556
109800	KRAS	7	17556
109800	RB1	191	17556
111400	A4GALT	10	17558
111400	B3GALNT1	8	17558
112600	BMP2	9	17557
112600	BMPR1B	2	17557
112600	GDF5	1	17557
113650	EYA1	1	17558
113650	SIX1	1	17558
113800	KRT1	1	17558
113800	KRT10	1	17558
114480	AKT1	29	17538
114480	BARD1	7	17538
114480	BRCA1	1	17538
114480	BRCA2	1	17538
114480	BRIP1	24	17538
114480	CASP8	42	17538
114480	CDH1	28	17538
114480	CHEK2	2	17538
114480	HMMR	397	17538
114480	KRAS	7	17538
114480	NQO2	14179	17538
114480	PALB2	6	17538
114480	PHB	269	17538
114480	PIK3CA	6	17538
114480	PPM1D	856	17538
114480	RAD51	11	17538
114480	RAD54L	2233	17538
114480	RB1CC1	1126	17538
114480	SLC22A18	269	17538
114480	TP53	4	17538
114480	TSG101	2892	17538
114480	XRCC3	19	17538
114500	AKT1	15	17548
114500	BUB1B	682	17548
114500	CTNNB1	32	17548
114500	DCC	1935	17548
114500	DLC1	1287	17548
114500	EP300	213	17548
114500	FGFR3	20	17548
114500	FLCN	2	17548
114500	NRAS	57	17548
114500	PIK3CA	20	17548
114500	SRC	517	17548
114500	TP53	1	17548
114550	AXIN1	276	17552
114550	CASP8	96	17552
114550	CTNNB1	13	17552
114550	IGF2R	6087	17552
114550	MET	411	17552
114550	PDGFRL	9103	17552
114550	PIK3CA	4	17552
114550	TP53	12	17552
120435	MSH2	6	17558
120435	PMS1	331	17558
122100	KRT12	36	17558
122100	KRT3	39	17558
122700	CYP2A6	152	17556
122700	CYP2C9	145	17556
122700	F9	350	17556
122700	VKORC1	349	17556
123400	HLA-DQB1	3060	17558
123400	PRNP	7	17558
125853	AKT2	274	17535
