GeneNames	Score
FIG4	0.00118755178050426
INSR	0.00117617537014749
RNF113A	0.0011522289108635
LMNA	0.00109843768283059
IGF2	0.00109796774959344
FGFRL1	0.000247679739987459
LETM1	0.000239725713364248
CPLX1	0.000236026576490506
CTBP1	0.000228458263174826
WHSC1	0.000223399252890804
MBTPS2	7.38264228382664e-05
SOX10	7.18509690003837e-05
PCNT	6.75665101120134e-05
ATR	6.69848972109481e-05
B4GALT7	5.88059723457289e-05
INS	5.5948493658732e-05
PTDSS1	3.80414151720325e-05
ERCC6	3.37567475305479e-05
CDC6	3.37271351642174e-05
ZMPSTE24	3.36408022861538e-05
ERCC8	3.18699025931071e-05
RPS6KA3	3.15889609649526e-05
POLD1	2.9352896743731e-05
PARN	2.83616916574175e-05
BANF1	2.83046559539575e-05
BSCL2	2.79834078934498e-05
AGPAT2	2.65462274768617e-05
BRAF	2.61164763465179e-05
B3GLCT	1.99878846317982e-05
ELN	1.69638377681425e-05
MLXIPL	1.67249423063966e-05
PTRH2	1.47016916210576e-05
PTF1A	1.44599680788397e-05
MAP2K2	1.33547626015733e-05
DHCR24	1.3063180372827e-05
SHANK3	1.25422040353215e-05
CTCF	1.23564524038571e-05
CEP57	1.22337882709915e-05
ARNT2	1.20579805933091e-05
NAA10	1.18676989478412e-05
SNIP1	1.16928619699546e-05
PRKDC	1.16724754190904e-05
SNAP29	1.15975169724994e-05
DHCR7	1.06186925416218e-05
SEMA3E	9.71549233848213e-06
CHD7	9.59500574812403e-06
ARHGAP31	8.61014085141259e-06
VAC14	8.2886476530252e-06
RAB3GAP2	6.56000224576533e-06
PTPRF	6.36660051943825e-06
RIPK4	6.08421005753018e-06
SETBP1	5.83016418391634e-06
KIF7	4.7128942142648e-06
NSD1	4.65603858115225e-06
ROR2	4.35190414694911e-06
TBCE	4.26717531724002e-06
PIK3CA	4.17366062175978e-06
GPC3	4.10104952699856e-06
NIN	3.98728221216692e-06
ERCC3	3.98387970037764e-06
IGFBP1	3.83152978146037e-06
IGFBP6	3.72934774252367e-06
PRKAR1A	3.67936101646968e-06
RAB23	3.61406405544618e-06
VPS13B	3.56995123394298e-06
HNRNPK	3.29668703964731e-06
PLOD3	3.2895890296852e-06
XYLT2	3.28420136310286e-06
WDR73	3.26342452535656e-06
KANSL1	3.2205344673017e-06
COX7B	3.11706824364284e-06
IGFBP4	3.07014618575072e-06
CHRNG	3.0643635597334e-06
TFAP2A	3.02691333721609e-06
PEX2	2.98272530144591e-06
HSD17B4	2.96667686906609e-06
LRP2	2.96185019912613e-06
HNF1A	2.92087541986369e-06
MAB21L2	2.90680851251789e-06
NOTCH3	2.90136053537959e-06
HCCS	2.8818263474733e-06
TRPV4	2.78793049423024e-06
GATA1	2.77454638983964e-06
IGFBP5	2.75799815853184e-06
HRAS	2.64531522611862e-06
COL10A1	2.59266543933538e-06
EP300	2.57627583788757e-06
CREBBP	2.38934663199817e-06
ARID1B	2.36355844571842e-06
PIK3R1	2.32299118849184e-06
ALMS1	2.20302224214691e-06
IGFBP3	2.18260738962063e-06
ATRX	2.18026710884676e-06
WRN	2.15556908135591e-06
IGF2R	2.10733569574628e-06
SALL1	2.09699337572085e-06
SIN3A	2.03455335260695e-06
EFNB1	2.02114266997404e-06
PCSK4	1.97272494746607e-06
SKI	1.97151006237209e-06
GPC4	1.9680325407421e-06
RECQL4	1.9284218320139e-06
LMNB1	1.91839708755355e-06
CAV1	1.84206289533377e-06
LBR	1.83515237697495e-06
ORC1	1.79588812996078e-06
PDGFRB	1.79508232037296e-06
CDKN1C	1.79124766677906e-06
SIX6	1.73049931171588e-06
KCNQ1	1.70628698579216e-06
SOX2	1.70054833615809e-06
NOBOX	1.67707755361373e-06
KCTD1	1.66887376002719e-06
PHF6	1.63359924405561e-06
EDNRB	1.58379217237027e-06
IGFALS	1.57667790801367e-06
PTPN11	1.53767025575705e-06
BRCA2	1.52693233367464e-06
XYLT1	1.50936985708708e-06
MAP2K1	1.48524864993794e-06
CCAR1	1.48248120799255e-06
CANT1	1.45740159225133e-06
CSK	1.44139990018453e-06
CRIPT	1.44018778133138e-06
PORCN	1.43066212904962e-06
WT1	1.39791363352375e-06
IRS2	1.39091060185699e-06
GPR101	1.37294805009748e-06
BLM	1.30971253186719e-06
SLC39A13	1.30521332065971e-06
MOGS	1.26019631115219e-06
ERCC4	1.25226424977351e-06
DIS3L2	1.19922901723205e-06
TBX15	1.1778184250033e-06
KCNJ11	1.16617000596551e-06
PIKFYVE	1.16035244617282e-06
PNPLA6	1.15907252548211e-06
ORC4	1.15693188874855e-06
PTCH1	1.15653916298453e-06
MED12	1.15488180471199e-06
ORC6	1.15438865689603e-06
GZMB	1.15312923810791e-06
NMRK2	1.14976341036023e-06
SUFU	1.14230432965397e-06
SNRNP200	1.13434955440498e-06
PTCH2	1.12878888317173e-06
IRS1	1.12757919059874e-06
SCARF2	1.12272045561341e-06
ZDHHC15	1.10528006102741e-06
KIFC3	1.0956994659676e-06
INPP5F	1.08832298412441e-06
CDT1	1.08113263236025e-06
TBL1XR1	1.07606319238083e-06
KIF11	1.06887579163464e-06
HSD11B1	1.06187015789783e-06
EDN3	1.05875695328611e-06
IGF1	1.0573533408138e-06
RBBP8	1.03637921558694e-06
SCN11A	1.03070801637882e-06
FGF3	1.02715685398322e-06
PMP22	1.01985720520804e-06
SH2B2	1.01229283259825e-06
GAS2L1	1.01121573005583e-06
NSUN2	9.96041879425159e-07
METTL23	9.9051464831309e-07
KRAS	9.89082450573348e-07
CBL	9.75964037594503e-07
RAI1	9.70868644615778e-07
PLEC	9.63078489133878e-07
ILF3	9.62238301604983e-07
EGF	9.59528552239722e-07
SMAD4	9.5395804346516e-07
SPECC1L	9.36790482901649e-07
PEPD	9.32421489975222e-07
EYA1	9.30021133349078e-07
HYAL1	9.24496584341387e-07
ABCA1	9.23673893138172e-07
CHST3	9.03321169845317e-07
FANCL	8.90764980478334e-07
UBE2I	8.77046425216736e-07
EFTUD2	8.69012646900094e-07
MLIP	8.5844278133028e-07
TINF2	8.5798104950321e-07
ENPP1	8.46946595796303e-07
GJA1	8.44552008144086e-07
IGFBP2	8.39901478278291e-07
DKC1	8.37878561626802e-07
CENPE	8.35533855814387e-07
UBA52	8.23198018219777e-07
DVL1	8.18153100026898e-07
CILP	8.17560374552554e-07
ERCC1	8.11154651579938e-07
RBBP4	8.03631313896807e-07
CENPJ	7.99877135497726e-07
AKT1	7.89040008523622e-07
CIDEC	7.82666770143857e-07
ROGDI	7.78596582812399e-07
NIPBL	7.78272087405115e-07
LMNB2	7.78135974736269e-07
HDAC2	7.73679872249396e-07
URB2	7.68007949606007e-07
FGD1	7.63374343865155e-07
PYCR1	7.62271344054474e-07
FGFR2	7.61824434802516e-07
GJA5	7.57951015083069e-07
UXT	7.55362074431279e-07
GJA8	7.54143071986555e-07
B3GAT3	7.50596903215475e-07
PAPPA2	7.50365268940703e-07
IGFBP7	7.50118445842233e-07
GRB10	7.48779999305441e-07
MTMR2	7.36261871297571e-07
