DiseaseID	Score
	
616489	0.0215593265
616353	0.0005530755
616263	0.0002787388
616214	0.0010292739
616001	0.0001154892
615966	0.0002277846
615926	0.0002275884
615502	0.0002409214
615381	0.0005721156
615280	0.0002301689
615236	0.0001187108
614501	0.0002295174
614261	0.0002284791
614114	0.0002395596
614008	0.0005591240
613805	0.0006669397
613706	0.0002312077
613623	0.0001146197
613457	0.0002444116
613026	0.0001147685
612947	0.0001289359
612691	0.0001359250
612577	0.0001358516
611962	0.0002219638
611961	0.0002305540
