GeneNames	Score
PRDX4	0.000983190193794098
OCRL	0.000310056545547688
PITX2	0.000308490869638207
ZMPSTE24	0.000304802135113655
GHR	0.000303686711016286
GJA1	0.000293092688060315
MLXIPL	0.000155037474605548
ELN	0.000148730427960922
P2RY12	0.00013351096105026
INS	0.000101412358966126
KCNJ11	8.06561207388142e-05
PDX1	7.65127608151882e-05
GCK	7.32079804974053e-05
HCST	7.1303131291304e-05
PDGFRB	5.61178660629998e-05
PIK3CD	5.27680661753336e-05
PIK3CA	5.07334962072507e-05
AGAP2	4.98781031809887e-05
FCGR2A	4.85030173668926e-05
CD28	4.68767806079679e-05
JAK2	4.42213638174176e-05
LCK	4.28535303638327e-05
IKBKG	4.21983541286732e-05
FASLG	4.20909272225873e-05
LCP2	3.9840437504731e-05
NFKBIA	3.83739422239768e-05
AXL	3.81857904213841e-05
EPHA2	3.81565550005714e-05
CYP4A11	3.66021531300214e-05
ERBB3	3.60240762541207e-05
HRAS	3.59599212855037e-05
BLNK	3.59434702809195e-05
GAB2	3.55628913148498e-05
STAT3	3.53462912071112e-05
EGFR	3.4043923902803e-05
ADAMTS2	3.39063708824081e-05
CD79B	3.39053725912322e-05
CBL	3.35058793976043e-05
CCL14	3.2902041245386e-05
AR	3.20574130139169e-05
KIT	3.16051355056172e-05
CXCR4	3.16030072968183e-05
IRS2	3.14489569673726e-05
LAT	3.11793242845296e-05
CD7	3.09751444179501e-05
CXCL2	3.00741785235569e-05
NFKB1	2.88382769982554e-05
IL12B	2.87624888216681e-05
CD40	2.84499366313353e-05
MET	2.83477116667426e-05
DOK1	2.83081141018005e-05
DAB2IP	2.77136307757306e-05
SH2D2A	2.74357885236116e-05
VAV1	2.70688988617393e-05
BCAR1	2.70257074577041e-05
PTPN6	2.68155840353038e-05
SSTR2	2.59832735166663e-05
ERBB2	2.59359748208225e-05
IGLL1	2.54597695298948e-05
ABI1	2.51934527123742e-05
SH3KBP1	2.49917091556674e-05
SYK	2.46050547114447e-05
CRKL	2.42394847429645e-05
GAB1	2.41820392364791e-05
SHC1	2.37843303928663e-05
SLC35A1	2.33626889438912e-05
PTK2	2.33334867080772e-05
IRS1	2.32884703893273e-05
CARD11	2.25759976309587e-05
FYN	2.19215700946401e-05
ADAM12	2.16121188798271e-05
P2RX1	2.13031062711459e-05
CRK	1.99602744898795e-05
GSPT1	1.9764279862456e-05
PYCR1	1.94550508554917e-05
MS4A1	1.89554926325126e-05
CTNNB1	1.88621698882446e-05
CDC42	1.86542357181336e-05
NTRK2	1.85906351744031e-05
GIMAP5	1.84557135595438e-05
GRB2	1.83814386853525e-05
AICDA	1.79964995779244e-05
DOCK2	1.78030756198249e-05
CD81	1.73766985879978e-05
ZAP70	1.67845471733203e-05
ITK	1.66825450195128e-05
ARHGAP1	1.63178023461928e-05
WAS	1.59912082049794e-05
FER	1.59888127618382e-05
MAF	1.59765213565168e-05
ATRX	1.58828578179529e-05
ALK	1.46443091415632e-05
HCK	1.45943077112561e-05
DLX2	1.45754720335863e-05
SHB	1.44822633465681e-05
EPOR	1.4347685093904e-05
SOCS1	1.43145271867272e-05
TNS4	1.40978854071033e-05
LMNA	1.33335270797269e-05
TUBA1B	1.29682012163405e-05
APPL1	1.29481592083086e-05
TTR	1.21635904040784e-05
RAG1	1.21508097523854e-05
FGR	1.19252669911095e-05
TYRO3	1.18999725683351e-05
ARHGAP17	1.17174182269424e-05
RAG2	1.17117051594331e-05
HTT	1.16425940430052e-05
HOXA1	1.16389190018397e-05
SQSTM1	1.14828639450451e-05
EZR	1.12901732094281e-05
PIK3R2	1.08135832855063e-05
EPS8	1.07872020597917e-05
PTPN11	1.07230599222868e-05
CSF1R	1.06750919405398e-05
GK	1.06679804963629e-05
ARAF	1.06605521477171e-05
AKT1	1.05791484580681e-05
FOXE3	1.04616792744229e-05
TRAT1	1.01645084074435e-05
BRCA1	9.81424060953525e-06
PNPLA6	9.78652796571214e-06
INSR	9.62813118356353e-06
CD3E	9.47492654993198e-06
PCNT	9.32490052143036e-06
ABL1	9.31602086795548e-06
EDA	9.29648779542415e-06
FCGR1A	9.23950670521541e-06
AKT2	9.1111726172263e-06
SRC	8.93916034387221e-06
CLNK	8.85884399878492e-06
BTK	8.80060087592259e-06
IL2RG	8.72093584985905e-06
PDE4D	8.42146375693746e-06
PLCG2	8.38448785035974e-06
SOS1	8.37011668851599e-06
PLCG1	8.34250972201432e-06
TNS1	8.18775913910057e-06
GRAP2	8.18584284967681e-06
ICOS	8.16511372511217e-06
PAX4	8.12733468349284e-06
MYH3	8.10942309203327e-06
PTEN	8.08486035210414e-06
FCGR3A	8.03277483787257e-06
VCAM1	8.02938586078116e-06
ITSN1	7.66505257499439e-06
CD79A	7.64752906459241e-06
KRAS	7.58834969323049e-06
CD80	7.48124861962932e-06
TYROBP	7.42470914560633e-06
TEK	7.31465756373581e-06
PTPN1	7.15723075096339e-06
HOMER1	7.13736508886381e-06
JAK3	6.97219028580486e-06
KDR	6.92064628313091e-06
VWF	6.87967363367146e-06
RECQL4	6.74976599413058e-06
PDGFRA	6.73151687380031e-06
CD3D	6.62216935195363e-06
LRRFIP1	6.60755677199128e-06
CDH1	6.55020880938222e-06
FCER1G	6.53004631418967e-06
MS4A2	6.51529560103401e-06
IGF1R	6.41289043616365e-06
INPP5D	6.37770878980367e-06
NCK1	6.28621951143071e-06
ESR1	6.26523988609379e-06
BCR	6.15202120449432e-06
INPPL1	6.10994073843618e-06
SHANK3	5.99474931838201e-06
CSF2RB	5.90188399978528e-06
RET	5.86700654735249e-06
CD2AP	5.84307193084788e-06
CD40LG	5.82865016872657e-06
RAF1	5.81064362526764e-06
IGF1	5.79723988640229e-06
LYN	5.75101673188873e-06
PGR	5.70909623481834e-06
BANF1	5.45844200989971e-06
POLD1	5.45256828582261e-06
CPSF6	5.40516713112023e-06
ITGAM	5.33003702690247e-06
NRAS	5.25164003110754e-06
HSP90AA1	5.24286044611108e-06
FES	5.11887305448936e-06
CD3G	5.05955150436098e-06
IL2RA	5.00117888481296e-06
ITGB3	4.99633212072633e-06
FAS	4.9378543517272e-06
ERBB4	4.92218046080894e-06
PIK3CG	4.86079645369449e-06
BLM	4.84662096420561e-06
FGFR3	4.8337520606322e-06
TXK	4.80373974029645e-06
NTRK1	4.71020322248734e-06
PIK3R5	4.70350325298592e-06
TBCE	4.70066705454314e-06
FGFR2	4.64593749268367e-06
MYO18A	4.64071078243113e-06
KHDRBS1	4.63869488019765e-06
BRAF	4.62856817791635e-06
GRB14	4.59247246057188e-06
TREM2	4.58226724476815e-06
DNM2	4.56811071640196e-06
ARID1B	4.56779033704992e-06
TNFSF10	4.41849889307708e-06
GH1	4.40763859439157e-06
SYNJ1	4.37841256426424e-06
IL2RB	4.36330555396806e-06
YES1	4.33807528251938e-06
FGFR1	4.32933051880733e-06
PAX6	4.32889209825097e-06
FGFR1OP2	4.32871181134107e-06
CYTH1	4.31490730727399e-06
CDC37	4.27546883898371e-06
FGF10	4.26716899522467e-06
NCKAP1	4.26231609343623e-06
ARAP3	4.25968163018318e-06
ZMYM2	4.25183054999014e-06
CBLB	4.23337011535997e-06
RAPGEF1	4.21896408210575e-06
